,Date,Time,Distance away,Unadjusted_Temp,Temperature,Overheated,Average ambient temperature
0,7/10/2020,15:2:38,277.78,nan,No,24.69,
1,7/10/2020,15:2:39,243.90,32.00,36.95,No,24.69
2,7/10/2020,15:2:39,243.90,32.00,36.95,No,24.69
3,7/10/2020,15:2:39,833.33,nan,No,24.69,
4,7/10/2020,15:2:41,156.25,32.00,36.95,Yes,24.69
5,7/10/2020,15:2:41,163.93,32.00,36.95,pause,24.69
6,7/10/2020,15:2:41,204.08,nan,No,24.69,
7,7/10/2020,15:2:46,500.00,30.00,36.95,No,24.54
8,7/10/2020,15:2:47,476.19,29.00,36.95,No,24.53
9,7/10/2020,15:2:49,400.00,30.00,36.95,No,24.52
10,7/10/2020,15:2:49,434.78,25.00,36.95,No,24.51
11,7/10/2020,15:2:49,416.67,nan,No,24.50,
12,7/10/2020,15:2:50,344.83,24.00,36.95,No,24.50
13,7/10/2020,15:2:50,384.62,No,24.49,,
14,7/10/2020,15:2:50,333.33,No,24.49,,
15,7/10/2020,15:2:51,322.58,No,24.48,,
16,7/10/2020,15:2:59,588.24,nan,No,24.24,
17,7/10/2020,15:2:59,588.24,nan,No,24.22,
18,7/10/2020,15:3:0,555.56,nan,No,24.20,
19,7/10/2020,15:3:0,500.00,nan,No,24.18,
20,7/10/2020,15:3:0,526.32,nan,No,24.15,
21,7/10/2020,15:3:0,555.56,nan,No,24.13,
22,7/10/2020,15:3:1,454.55,nan,No,24.12,
23,7/10/2020,15:3:1,434.78,29.00,36.95,No,24.11
24,7/10/2020,15:3:1,434.78,29.00,36.95,No,24.11
25,7/10/2020,15:3:2,400.00,29.00,36.95,No,24.10
26,7/10/2020,15:3:2,400.00,29.00,36.95,No,24.10
27,7/10/2020,15:3:2,370.37,30.00,36.95,No,24.09
28,7/10/2020,15:3:3,322.58,30.00,36.95,No,24.08
29,7/10/2020,15:3:3,277.78,30.00,36.95,No,24.07
30,7/10/2020,15:3:3,243.90,31.62,36.57,No,24.06
31,7/10/2020,15:3:3,256.41,31.62,36.57,No,24.05
32,7/10/2020,15:3:3,588.24,30.39,36.34,No,24.05
33,7/10/2020,15:3:4,217.39,nan,No,24.04,
34,7/10/2020,15:3:4,232.56,30.00,36.95,No,24.04
35,7/10/2020,15:3:4,263.16,31.00,36.95,No,24.04
36,7/10/2020,15:3:5,285.71,31.00,36.95,No,24.04
37,7/10/2020,15:3:5,476.19,29.00,36.95,No,24.04
38,7/10/2020,15:3:5,232.56,31.00,36.95,No,24.04
39,7/10/2020,15:3:5,434.78,29.04,36.99,No,24.04
40,7/10/2020,15:3:5,416.67,30.00,36.95,No,24.03
41,7/10/2020,15:3:5,454.55,30.00,36.95,No,24.03
42,7/10/2020,15:3:6,416.67,29.34,36.29,No,24.03
43,7/10/2020,15:3:6,434.78,30.00,36.95,No,24.03
44,7/10/2020,15:3:6,384.62,30.00,36.95,No,24.03
45,7/10/2020,15:3:6,175.44,30.00,36.95,Yes,24.03
46,7/10/2020,15:3:6,312.50,30.02,36.97,No,24.03
47,7/10/2020,15:3:6,588.24,nan,No,24.03,
48,7/10/2020,15:3:7,188.68,30.13,36.78,pause,24.03
49,7/10/2020,15:3:7,263.16,31.06,36.71,No,24.03
50,7/10/2020,15:3:7,196.08,30.96,36.91,pause,24.03
51,7/10/2020,15:3:7,238.10,31.45,36.40,No,24.04
52,7/10/2020,15:3:8,232.56,31.00,36.95,No,24.06
53,7/10/2020,15:3:8,454.55,29.00,36.95,No,24.06
54,7/10/2020,15:3:8,175.44,nan,No,24.06,
55,7/10/2020,15:3:8,196.08,31.00,36.95,pause,24.08
56,7/10/2020,15:3:8,434.78,30.00,36.95,No,24.08
57,7/10/2020,15:3:8,178.57,31.00,36.95,pause,24.10
58,7/10/2020,15:3:8,416.67,30.00,36.95,No,24.10
59,7/10/2020,15:3:8,169.49,31.00,36.95,pause,24.11
