,Date,Time,Distance away,Temperature,Overheated,Average ambient temperature
0,18/6/2020,15:45:24,76.92,36.92,No,19.01
1,18/6/2020,15:45:25,82.64,36.50,No,19.02
2,18/6/2020,15:45:25,89.29,36.41,No,19.03
3,18/6/2020,15:45:25,84.03,36.77,No,19.04
4,18/6/2020,15:45:25,82.64,36.92,No,19.05
5,18/6/2020,15:45:26,80.00,36.96,No,19.06
6,18/6/2020,15:45:26,76.34,36.94,No,19.06
7,18/6/2020,15:45:27,78.12,36.92,No,19.10
8,18/6/2020,15:45:28,80.65,36.50,No,19.11
9,18/6/2020,15:45:28,80.65,36.92,No,19.12
10,18/6/2020,15:45:28,78.74,36.92,No,19.13
11,18/6/2020,15:45:28,79.37,36.92,No,19.13
12,18/6/2020,15:45:29,82.64,36.92,No,19.13
13,18/6/2020,15:45:29,76.92,36.92,No,19.14
14,18/6/2020,15:45:29,76.92,36.94,No,19.14
15,18/6/2020,15:45:31,75.76,36.50,No,19.17
16,18/6/2020,15:45:31,76.34,36.50,No,19.18
17,18/6/2020,15:45:31,81.30,36.92,No,19.19
18,18/6/2020,15:45:32,80.65,36.92,No,19.20
19,18/6/2020,15:45:32,80.00,36.92,No,19.22
20,18/6/2020,15:45:32,80.00,36.92,No,19.23
21,18/6/2020,15:45:32,80.00,36.92,No,19.24
22,18/6/2020,15:45:33,77.52,36.71,No,19.25
23,18/6/2020,15:45:33,72.99,36.78,No,19.25
24,18/6/2020,15:45:36,77.52,36.50,No,19.25
25,18/6/2020,15:45:36,80.00,36.92,No,19.26
26,18/6/2020,15:45:36,79.37,36.94,No,19.26
27,18/6/2020,15:45:36,81.30,36.95,No,19.27
28,18/6/2020,15:45:37,83.33,36.96,No,19.27
29,18/6/2020,15:45:37,83.33,36.92,No,19.27
30,18/6/2020,15:45:37,84.03,36.93,No,19.27
31,18/6/2020,15:45:37,80.65,36.92,No,19.27
32,18/6/2020,15:45:38,86.96,36.53,No,19.27
33,18/6/2020,15:45:43,75.76,36.50,No,19.14
34,18/6/2020,15:45:44,81.30,36.50,No,19.14
35,18/6/2020,15:45:44,75.76,36.50,No,19.14
36,18/6/2020,15:45:44,78.74,36.92,No,19.14
37,18/6/2020,15:45:44,79.37,36.96,No,19.14
38,18/6/2020,15:45:45,82.64,36.96,No,19.14
39,18/6/2020,15:45:45,80.65,36.92,No,19.15
40,18/6/2020,15:45:45,86.21,36.42,No,19.15
41,18/6/2020,15:45:45,93.46,36.42,No,19.16
42,18/6/2020,15:45:46,107.53,36.95,No,19.17
43,18/6/2020,15:45:46,96.15,36.73,No,19.17
44,18/6/2020,15:45:58,95.24,36.50,No,18.95
45,18/6/2020,15:45:58,93.46,36.50,No,18.95
46,18/6/2020,15:45:59,90.09,36.38,No,18.96
47,18/6/2020,15:45:59,86.96,36.42,No,18.96
48,18/6/2020,15:45:59,91.74,36.38,No,18.97
49,18/6/2020,15:45:59,89.29,36.39,No,18.98
50,18/6/2020,15:46:0,90.91,36.42,No,18.99
51,18/6/2020,15:46:0,93.46,36.39,No,19.01
52,18/6/2020,15:46:0,95.24,36.95,No,19.02
53,18/6/2020,15:46:0,97.09,36.79,No,19.03
54,18/6/2020,15:46:1,90.91,36.38,No,19.04
55,18/6/2020,15:46:1,97.09,36.71,No,19.06
56,18/6/2020,15:46:1,90.91,36.43,No,19.07
57,18/6/2020,15:46:2,90.91,36.38,No,19.08
58,18/6/2020,15:46:2,89.29,36.41,No,19.09
59,18/6/2020,15:46:2,91.74,36.43,No,19.11
60,18/6/2020,15:46:2,90.91,36.38,No,19.12
61,18/6/2020,15:46:2,92.59,36.42,No,19.13
62,18/6/2020,15:46:3,90.91,36.44,No,19.15
63,18/6/2020,15:46:3,92.59,36.45,No,19.16
64,18/6/2020,15:46:3,92.59,36.41,No,19.17
65,18/6/2020,15:46:3,92.59,36.42,No,19.18
66,18/6/2020,15:46:4,91.74,36.49,No,19.19
67,18/6/2020,15:46:4,92.59,36.61,No,19.21
68,18/6/2020,15:46:4,90.91,36.41,No,19.22
69,18/6/2020,15:46:5,93.46,36.38,No,19.23
70,18/6/2020,15:46:5,93.46,36.43,No,19.24
71,18/6/2020,15:46:5,92.59,36.38,No,19.25
72,18/6/2020,15:46:5,96.15,36.95,No,19.26
73,18/6/2020,15:46:6,94.34,36.44,No,19.27
74,18/6/2020,15:46:6,87.72,36.43,No,19.28
75,18/6/2020,15:46:6,79.37,36.93,No,19.30
76,18/6/2020,15:46:6,68.97,36.82,No,19.31
77,18/6/2020,15:46:7,48.08,36.89,No,19.32
78,18/6/2020,15:46:7,47.85,36.50,No,19.32
79,18/6/2020,15:46:12,31.35,36.81,No,19.55
80,18/6/2020,15:46:12,30.86,36.77,No,19.57
81,18/6/2020,15:46:13,31.45,36.76,No,19.67
82,18/6/2020,15:46:13,32.15,36.76,No,19.70
83,18/6/2020,15:46:14,30.86,36.77,No,19.73
84,18/6/2020,15:46:44,46.51,36.76,No,19.04
85,18/6/2020,15:46:44,61.35,36.50,No,19.04
86,18/6/2020,15:46:44,68.03,36.50,No,19.05
87,18/6/2020,15:46:45,68.97,36.50,No,19.06
88,18/6/2020,15:46:51,64.94,36.50,No,19.03
89,18/6/2020,15:46:51,61.35,36.50,No,19.04
90,18/6/2020,15:46:51,68.03,36.82,No,19.05
91,18/6/2020,15:46:52,66.67,36.79,No,19.06
92,18/6/2020,15:46:52,69.44,36.76,No,19.08
93,18/6/2020,15:46:52,75.19,36.92,No,19.09
94,18/6/2020,15:46:52,68.97,36.80,No,19.10
95,18/6/2020,15:46:57,68.03,36.50,No,19.06
96,18/6/2020,15:46:57,67.11,36.50,No,19.07
97,18/6/2020,15:46:58,82.64,36.50,No,19.08
98,18/6/2020,15:46:58,83.33,36.92,No,19.08
99,18/6/2020,15:46:58,73.53,36.76,No,19.10
