,Date,Time,Distance away,Temperature,Overheated,Average ambient temperature
0,13/7/2020,15:23:42,476.19,36.50,No,25.47
1,13/7/2020,15:23:42,454.55,36.50,No,25.47
2,13/7/2020,15:23:42,333.33,36.50,No,25.47
3,13/7/2020,15:23:42,476.19,36.50,No,25.47
4,13/7/2020,15:23:42,333.33,36.50,No,25.47
5,13/7/2020,15:23:43,500.00,36.50,No,25.46
6,13/7/2020,15:23:43,500.00,36.50,No,25.46
7,13/7/2020,15:23:43,454.55,36.50,No,25.46
8,13/7/2020,15:23:43,500.00,36.50,No,25.46
9,13/7/2020,15:23:44,344.83,36.95,No,25.45
10,13/7/2020,15:23:44,322.58,36.95,No,25.45
11,13/7/2020,15:23:44,344.83,36.95,No,25.45
12,13/7/2020,15:23:44,344.83,36.95,No,25.45
13,13/7/2020,15:23:44,357.14,36.50,No,25.45
14,13/7/2020,15:23:45,370.37,36.95,No,25.45
15,13/7/2020,15:23:45,344.83,36.05,No,25.45
16,13/7/2020,15:23:45,370.37,36.95,No,25.45
17,13/7/2020,15:23:46,400.00,36.95,No,25.45
18,13/7/2020,15:23:46,434.78,36.50,No,25.45
19,13/7/2020,15:23:46,400.00,36.95,No,25.45
20,13/7/2020,15:23:46,526.32,36.50,No,25.45
21,13/7/2020,15:23:46,400.00,36.95,No,25.45
22,13/7/2020,15:23:46,454.55,36.50,No,25.45
23,13/7/2020,15:23:46,416.67,36.95,No,25.45
24,13/7/2020,15:23:46,322.58,36.95,No,25.45
25,13/7/2020,15:23:46,500.00,36.50,No,25.45
26,13/7/2020,15:23:47,384.62,36.95,No,25.45
27,13/7/2020,15:23:47,454.55,36.50,No,25.45
28,13/7/2020,15:23:47,357.14,36.95,No,25.45
29,13/7/2020,15:23:47,357.14,36.95,No,25.45
30,13/7/2020,15:23:47,370.37,36.95,No,25.45
31,13/7/2020,15:23:47,357.14,36.50,No,25.45
32,13/7/2020,15:23:47,500.00,36.50,No,25.45
33,13/7/2020,15:23:47,384.62,36.95,No,25.45
34,13/7/2020,15:23:47,357.14,36.50,No,25.45
35,13/7/2020,15:23:48,322.58,36.52,No,25.45
36,13/7/2020,15:23:48,416.67,36.95,No,25.45
37,13/7/2020,15:23:48,384.62,36.50,No,25.45
38,13/7/2020,15:23:48,400.00,36.95,No,25.45
39,13/7/2020,15:23:48,333.33,36.50,No,25.45
40,13/7/2020,15:23:49,333.33,36.50,No,25.45
41,13/7/2020,15:23:49,333.33,36.50,No,25.45
42,13/7/2020,15:23:49,357.14,36.50,No,25.45
43,13/7/2020,15:23:49,434.78,36.50,No,25.46
44,13/7/2020,15:23:49,416.67,36.50,No,25.46
45,13/7/2020,15:23:50,416.67,36.50,No,25.46
46,13/7/2020,15:23:50,416.67,36.50,No,25.46
47,13/7/2020,15:23:50,434.78,36.50,No,25.46
48,13/7/2020,15:23:50,434.78,36.50,No,25.47
49,13/7/2020,15:23:50,416.67,36.50,No,25.47
50,13/7/2020,15:23:51,400.00,36.50,No,25.48
51,13/7/2020,15:23:51,384.62,36.50,No,25.49
52,13/7/2020,15:23:51,357.14,36.50,No,25.49
53,13/7/2020,15:23:52,370.37,36.50,No,25.49
54,13/7/2020,15:23:52,344.83,36.50,No,25.49
55,13/7/2020,15:23:52,357.14,36.50,No,25.48
56,13/7/2020,15:23:52,384.62,36.50,No,25.48
57,13/7/2020,15:23:52,344.83,36.95,No,25.48
58,13/7/2020,15:23:52,357.14,36.50,No,25.48
59,13/7/2020,15:23:52,370.37,36.95,No,25.47
60,13/7/2020,15:23:53,357.14,36.50,No,25.47
