,Date,Time,Distance away,Temperature,Overheated,Average ambient temperature
0,6/7/2020,18:9:43,178.57,36.50,No,24.45
1,6/7/2020,18:9:43,158.73,36.50,No,24.45
2,6/7/2020,18:9:44,169.49,36.50,No,24.45
3,6/7/2020,18:9:44,169.49,36.50,No,24.44
4,6/7/2020,18:9:44,175.44,36.50,No,24.44
5,6/7/2020,18:9:45,149.25,36.95,No,24.44
6,6/7/2020,18:9:45,153.85,36.50,No,24.44
7,6/7/2020,18:9:45,151.52,36.50,No,24.44
8,6/7/2020,18:9:45,181.82,36.50,No,24.44
9,6/7/2020,18:9:46,178.57,36.50,No,24.44
10,6/7/2020,18:9:46,151.52,36.95,No,24.44
11,6/7/2020,18:9:46,147.06,36.95,No,24.44
12,6/7/2020,18:9:47,151.52,36.50,No,24.43
13,6/7/2020,18:9:47,169.49,36.50,No,24.43
14,6/7/2020,18:9:47,153.85,36.79,No,24.43
15,6/7/2020,18:9:47,204.08,36.50,No,24.43
16,6/7/2020,18:9:47,158.73,36.74,No,24.43
17,6/7/2020,18:9:47,138.89,36.95,No,24.43
18,6/7/2020,18:9:48,151.52,36.50,No,24.42
19,6/7/2020,18:9:49,120.48,36.95,No,24.41
20,6/7/2020,18:9:49,117.65,36.95,No,24.41
21,6/7/2020,18:9:49,117.65,36.95,No,24.40
22,6/7/2020,18:9:50,114.94,36.95,No,24.40
23,6/7/2020,18:9:53,98.04,36.83,No,24.39
24,6/7/2020,18:9:55,96.15,36.95,No,24.41
25,6/7/2020,18:9:55,99.01,36.81,No,24.42
26,6/7/2020,18:9:59,120.48,36.95,No,24.43
27,6/7/2020,18:9:59,113.64,36.95,No,24.43
28,6/7/2020,18:9:59,111.11,36.95,No,24.43
29,6/7/2020,18:9:59,101.01,36.95,No,24.43
30,6/7/2020,18:10:0,107.53,36.97,No,24.43
31,6/7/2020,18:10:0,108.70,36.95,No,24.43
32,6/7/2020,18:10:0,109.89,36.95,No,24.43
33,6/7/2020,18:10:0,111.11,36.95,No,24.43
34,6/7/2020,18:10:1,107.53,36.95,No,24.44
35,6/7/2020,18:10:1,107.53,36.95,No,24.43
36,6/7/2020,18:10:1,106.38,36.95,No,24.44
37,6/7/2020,18:10:1,108.70,36.95,No,24.44
38,6/7/2020,18:10:2,103.09,36.95,No,24.44
39,6/7/2020,18:10:2,108.70,36.95,No,24.44
40,6/7/2020,18:10:2,91.74,36.38,No,24.44
41,6/7/2020,18:10:3,100.00,36.95,No,24.44
42,6/7/2020,18:10:3,108.70,36.95,No,24.44
43,6/7/2020,18:10:3,102.04,36.95,No,24.44
44,6/7/2020,18:10:3,101.01,36.95,No,24.44
45,6/7/2020,18:10:4,107.53,36.95,No,24.43
46,6/7/2020,18:10:4,119.05,36.98,No,24.43
47,6/7/2020,18:10:4,116.28,36.69,No,24.43
48,6/7/2020,18:10:6,120.48,36.95,No,24.44
49,6/7/2020,18:10:6,121.95,36.95,No,24.43
50,6/7/2020,18:10:7,119.05,36.95,No,24.43
51,6/7/2020,18:10:7,112.36,36.95,No,24.43
52,6/7/2020,18:10:7,113.64,36.95,No,24.43
53,6/7/2020,18:10:8,114.94,36.95,No,24.42
54,6/7/2020,18:10:8,117.65,36.95,No,24.41
55,6/7/2020,18:10:8,116.28,36.95,No,24.41
56,6/7/2020,18:10:8,117.65,36.95,No,24.40
57,6/7/2020,18:10:9,112.36,36.95,No,24.39
58,6/7/2020,18:10:9,112.36,36.96,No,24.38
59,6/7/2020,18:10:9,121.95,36.95,No,24.38
60,6/7/2020,18:10:10,111.11,36.95,No,24.37
61,6/7/2020,18:10:10,119.05,36.95,No,24.37
62,6/7/2020,18:10:10,123.46,36.95,No,24.37
63,6/7/2020,18:10:11,135.14,36.97,No,24.37
64,6/7/2020,18:10:11,142.86,36.50,No,24.36
65,6/7/2020,18:10:11,142.86,36.50,No,24.36
66,6/7/2020,18:10:11,163.93,36.50,No,24.36
67,6/7/2020,18:10:12,153.85,36.50,No,24.36
68,6/7/2020,18:10:12,156.25,36.50,No,24.35
69,6/7/2020,18:10:12,161.29,36.95,No,24.35
70,6/7/2020,18:10:12,163.93,36.95,No,24.35
71,6/7/2020,18:10:13,156.25,36.95,No,24.35
72,6/7/2020,18:10:13,166.67,36.60,No,24.35
73,6/7/2020,18:10:13,153.85,36.50,No,24.35
74,6/7/2020,18:10:13,163.93,36.60,No,24.35
75,6/7/2020,18:10:13,147.06,36.50,No,24.35
76,6/7/2020,18:10:14,161.29,36.51,No,24.35
77,6/7/2020,18:10:14,153.85,36.50,No,24.35
78,6/7/2020,18:10:14,163.93,36.46,No,24.35
79,6/7/2020,18:10:14,149.25,36.50,No,24.35
80,6/7/2020,18:10:14,163.93,36.46,No,24.35
81,6/7/2020,18:10:14,158.73,36.50,No,24.35
82,6/7/2020,18:10:14,163.93,36.46,No,24.35
83,6/7/2020,18:10:14,166.67,36.50,No,24.35
84,6/7/2020,18:10:15,163.93,36.50,No,24.35
85,6/7/2020,18:10:15,192.31,36.50,No,24.35
86,6/7/2020,18:10:15,158.73,36.37,No,24.35
87,6/7/2020,18:10:15,153.85,36.95,No,24.35
88,6/7/2020,18:10:15,163.93,36.24,No,24.35
89,6/7/2020,18:10:15,163.93,36.95,No,24.35
90,6/7/2020,18:10:16,166.67,36.39,No,24.34
91,6/7/2020,18:10:16,149.25,36.95,No,24.34
92,6/7/2020,18:10:16,166.67,36.59,No,24.34
93,6/7/2020,18:10:16,163.93,36.50,No,24.34
94,6/7/2020,18:10:16,161.29,36.34,No,24.35
95,6/7/2020,18:10:16,161.29,36.95,No,24.35
96,6/7/2020,18:10:17,163.93,36.73,No,24.35
97,6/7/2020,18:10:17,158.73,36.50,No,24.35
98,6/7/2020,18:10:17,175.44,36.41,No,24.35
99,6/7/2020,18:10:17,147.06,36.95,No,24.35
