,Date,Time,Distance away,Temperature,Overheated,Average ambient temperature
0,6/7/2020,16:37:10,119.05,36.95,25.88,
1,6/7/2020,16:37:10,113.64,36.79,25.88,
2,6/7/2020,16:37:11,112.36,36.83,25.88,
3,6/7/2020,16:37:11,112.36,36.98,25.88,
4,6/7/2020,16:37:11,120.48,36.50,25.88,
5,6/7/2020,16:37:11,114.94,36.50,25.88,
6,6/7/2020,16:37:11,116.28,36.95,25.88,
7,6/7/2020,16:37:12,101.01,36.85,25.88,
8,6/7/2020,16:37:12,87.72,36.78,Yes,25.89
9,6/7/2020,16:37:12,73.53,36.77,25.89,
10,6/7/2020,16:37:12,64.94,36.83,25.89,
11,6/7/2020,16:37:13,56.18,36.44,25.89,
12,6/7/2020,16:37:13,52.36,36.22,25.89,
13,6/7/2020,16:37:13,49.75,36.85,25.90,
14,6/7/2020,16:37:13,49.50,36.81,25.91,
15,6/7/2020,16:37:14,50.25,36.83,25.91,
16,6/7/2020,16:37:14,49.75,36.80,25.92,
17,6/7/2020,16:37:14,50.25,36.76,25.92,
18,6/7/2020,16:37:14,50.51,36.78,25.93,
19,6/7/2020,16:37:15,48.54,36.81,25.93,
20,6/7/2020,16:37:15,48.54,36.82,25.94,
21,6/7/2020,16:37:15,48.31,36.81,25.94,
22,6/7/2020,16:37:15,50.00,36.75,25.95,
23,6/7/2020,16:37:15,49.26,36.78,Yes,25.95
24,6/7/2020,16:37:16,49.75,36.80,25.96,
25,6/7/2020,16:37:16,49.26,36.79,25.96,
26,6/7/2020,16:37:16,51.02,36.79,25.97,
27,6/7/2020,16:37:16,50.25,36.79,25.97,
28,6/7/2020,16:37:17,51.55,36.78,25.98,
29,6/7/2020,16:37:17,50.25,36.80,25.98,
30,6/7/2020,16:37:17,51.55,36.35,25.98,
31,6/7/2020,16:37:17,52.08,36.41,25.99,
32,6/7/2020,16:37:18,54.95,36.48,25.99,
33,6/7/2020,16:37:18,57.14,36.50,25.99,
34,6/7/2020,16:37:18,63.29,36.77,26.00,
35,6/7/2020,16:37:18,76.34,36.26,26.00,
36,6/7/2020,16:37:18,93.46,36.72,26.00,
37,6/7/2020,16:37:19,112.36,36.67,26.00,
38,6/7/2020,16:37:19,109.89,36.45,Yes,26.01
39,6/7/2020,16:37:36,263.16,36.50,Yes,25.82
40,6/7/2020,16:37:36,285.71,36.50,25.82,
41,6/7/2020,16:37:37,263.16,36.50,25.83,
42,6/7/2020,16:37:37,256.41,36.50,25.83,
43,6/7/2020,16:37:37,227.27,36.50,25.83,
44,6/7/2020,16:37:37,196.08,36.50,25.83,
45,6/7/2020,16:37:37,163.93,36.50,25.84,
46,6/7/2020,16:37:44,129.87,36.95,Yes,25.82
47,6/7/2020,16:37:44,128.21,36.50,25.81,
