,Date,Time,Distance away,Temperature,Overheated,Average ambient temperature
0,3/6/2020,22:46:5,245.90,37.00,No,24.57
1,3/6/2020,22:46:5,254.24,36.74,No,24.57
2,3/6/2020,22:46:6,263.16,36.70,No,24.57
3,3/6/2020,22:46:6,272.73,36.87,No,24.57
4,3/6/2020,22:46:6,230.77,36.95,No,24.57
5,3/6/2020,22:46:7,258.62,36.95,No,24.58
6,3/6/2020,22:46:7,250.00,36.71,No,24.58
7,3/6/2020,22:46:7,241.94,36.73,No,24.58
8,3/6/2020,22:46:7,234.38,36.74,No,24.58
9,3/6/2020,22:46:8,238.10,36.95,No,24.58
10,3/6/2020,22:46:8,234.38,36.29,No,24.58
11,3/6/2020,22:46:8,220.59,36.22,No,24.58
12,3/6/2020,22:46:9,214.29,36.72,No,24.58
13,3/6/2020,22:46:9,223.88,36.95,No,24.58
14,3/6/2020,22:46:9,234.38,36.50,No,24.58
15,3/6/2020,22:46:9,241.94,36.95,No,24.58
16,3/6/2020,22:46:10,234.38,36.95,No,24.58
17,3/6/2020,22:46:10,230.77,36.87,No,24.58
18,3/6/2020,22:46:10,100.67,37.15,No,24.58
19,3/6/2020,22:46:10,238.10,36.71,No,24.58
20,3/6/2020,22:46:11,96.77,37.01,No,24.58
21,3/6/2020,22:46:11,241.94,36.95,No,24.57
22,3/6/2020,22:46:11,90.91,36.43,No,24.57
23,3/6/2020,22:46:11,238.10,36.95,No,24.57
24,3/6/2020,22:46:11,234.38,36.95,No,24.57
25,3/6/2020,22:46:12,230.77,36.88,No,24.57
26,3/6/2020,22:46:12,234.38,37.00,No,24.56
27,3/6/2020,22:46:12,230.77,36.95,No,24.56
28,3/6/2020,22:46:13,230.77,36.87,No,24.54
29,3/6/2020,22:46:13,258.62,36.95,No,24.53
30,3/6/2020,22:46:13,230.77,36.34,No,24.53
31,3/6/2020,22:46:13,241.94,36.89,No,24.51
32,3/6/2020,22:46:14,283.02,36.70,No,24.51
33,3/6/2020,22:46:14,223.88,36.82,No,24.50
34,3/6/2020,22:46:14,211.27,36.99,No,24.49
35,3/6/2020,22:46:14,223.88,36.99,No,24.48
36,3/6/2020,22:46:36,100.67,37.05,No,23.85
37,3/6/2020,22:46:37,115.38,37.01,No,23.85
38,3/6/2020,22:46:37,119.05,36.98,No,23.86
39,3/6/2020,22:46:37,115.38,36.83,No,23.86
40,3/6/2020,22:46:38,112.78,36.79,No,23.87
41,3/6/2020,22:46:38,110.29,37.06,No,23.87
42,3/6/2020,22:46:38,117.19,36.99,No,23.88
43,3/6/2020,22:46:38,115.38,36.95,No,23.88
44,3/6/2020,22:46:39,112.78,36.99,No,23.89
45,3/6/2020,22:46:39,113.64,36.95,No,23.89
46,3/6/2020,22:46:39,109.49,36.98,No,23.90
47,3/6/2020,22:46:39,109.49,36.95,No,23.90
48,3/6/2020,22:46:40,110.29,36.98,No,23.91
49,3/6/2020,22:46:40,117.19,37.02,No,23.92
50,3/6/2020,22:46:40,110.29,37.01,No,23.92
51,3/6/2020,22:46:52,312.50,36.36,No,24.20
52,3/6/2020,22:46:54,161.29,36.81,No,24.19
53,3/6/2020,22:46:54,144.23,36.95,No,24.19
54,3/6/2020,22:46:54,140.19,37.05,No,24.18
55,3/6/2020,22:46:55,133.93,37.07,No,24.18
56,3/6/2020,22:46:55,145.63,37.01,No,24.17
57,3/6/2020,22:46:55,138.89,36.47,No,24.17
58,3/6/2020,22:46:55,138.89,36.55,No,24.16
59,3/6/2020,22:46:56,140.19,36.75,No,24.16
60,3/6/2020,22:46:56,141.51,36.79,No,24.16
61,3/6/2020,22:46:56,138.89,36.78,No,24.15
62,3/6/2020,22:46:57,145.63,36.73,No,24.15
63,3/6/2020,22:46:57,144.23,36.96,No,24.15
64,3/6/2020,22:46:57,142.86,36.78,No,24.14
65,3/6/2020,22:46:58,142.86,36.84,No,24.13
66,3/6/2020,22:46:58,138.89,37.03,No,24.13
67,3/6/2020,22:46:58,129.31,36.97,No,24.12
68,3/6/2020,22:46:59,132.74,37.09,No,24.12
69,3/6/2020,22:46:59,133.93,37.15,No,24.11
70,3/6/2020,22:46:59,135.14,36.97,No,24.11
71,3/6/2020,22:47:0,137.61,37.15,No,24.10
72,3/6/2020,22:47:0,145.63,37.15,No,24.10
73,3/6/2020,22:47:0,144.23,37.02,No,24.10
74,3/6/2020,22:47:1,138.89,37.00,No,24.10
75,3/6/2020,22:47:1,138.89,37.30,No,24.10
76,3/6/2020,22:47:1,136.36,36.96,No,24.09
77,3/6/2020,22:47:1,140.19,37.20,No,24.09
78,3/6/2020,22:47:2,138.89,37.16,No,24.09
79,3/6/2020,22:47:2,135.14,37.15,No,24.09
80,3/6/2020,22:47:2,138.89,36.99,No,24.09
81,3/6/2020,22:47:2,137.61,36.95,No,24.10
82,3/6/2020,22:47:3,140.19,37.01,No,24.09
83,3/6/2020,22:47:3,137.61,37.17,No,24.09
84,3/6/2020,22:47:3,137.61,37.05,No,24.09
85,3/6/2020,22:47:4,138.89,37.15,No,24.09
86,3/6/2020,22:47:4,140.19,37.15,No,24.08
87,3/6/2020,22:47:6,142.86,36.41,No,24.07
88,3/6/2020,22:47:7,137.61,36.24,No,24.07
89,3/6/2020,22:47:10,138.89,36.98,No,24.04
90,3/6/2020,22:47:10,142.86,37.15,No,24.03
91,3/6/2020,22:47:11,132.74,37.15,No,24.03
92,3/6/2020,22:47:11,132.74,36.96,No,24.03
93,3/6/2020,22:47:11,157.89,37.15,No,24.03
94,3/6/2020,22:47:12,161.29,37.01,No,24.01
95,3/6/2020,22:47:19,130.43,36.43,No,24.23
96,3/6/2020,22:47:19,121.95,37.15,No,24.25
97,3/6/2020,22:47:20,98.68,37.20,No,24.25
98,3/6/2020,22:47:20,98.68,36.27,No,24.25
99,3/6/2020,22:47:20,90.36,36.20,No,24.25
