,Date,Time,Distance away,Unadjusted_Temp,Temperature,Overheated,Average ambient temperature
0,27/10/2020,15:52:32,555.56,34.00,36.78,No,29.68
1,27/10/2020,15:52:32,454.55,nan,No,29.68,
2,27/10/2020,15:52:32,555.56,nan,No,29.68,
3,27/10/2020,15:52:32,454.55,nan,No,29.68,
4,27/10/2020,15:52:33,434.78,nan,No,29.69,
5,27/10/2020,15:52:33,416.67,nan,No,29.69,
6,27/10/2020,15:52:35,454.55,nan,No,29.68,
7,27/10/2020,15:52:35,555.56,34.00,36.78,No,29.67
8,27/10/2020,15:52:36,434.78,nan,No,29.67,
9,27/10/2020,15:52:36,454.55,nan,No,29.67,
10,27/10/2020,15:52:36,588.24,34.00,36.78,No,29.67
11,27/10/2020,15:52:37,454.55,nan,No,29.66,
12,27/10/2020,15:52:37,454.55,nan,No,29.66,
13,27/10/2020,15:52:37,434.78,nan,No,29.66,
14,27/10/2020,15:52:38,434.78,nan,No,29.66,
15,27/10/2020,15:52:38,434.78,nan,No,29.66,
16,27/10/2020,15:52:38,555.56,34.00,36.78,No,29.66
17,27/10/2020,15:52:39,588.24,34.00,36.78,No,29.66
18,27/10/2020,15:52:39,555.56,34.00,36.78,No,29.66
19,27/10/2020,15:52:39,500.00,nan,No,29.65,
20,27/10/2020,15:52:40,476.19,nan,No,29.65,
21,27/10/2020,15:52:40,476.19,nan,No,29.65,
22,27/10/2020,15:52:40,454.55,nan,No,29.65,
23,27/10/2020,15:52:41,555.56,nan,No,29.65,
24,27/10/2020,15:52:41,500.00,nan,No,29.65,
25,27/10/2020,15:52:41,454.55,nan,No,29.64,
26,27/10/2020,15:52:42,434.78,nan,No,29.64,
27,27/10/2020,15:52:42,434.78,nan,No,29.63,
28,27/10/2020,15:52:42,400.00,nan,No,29.63,
29,27/10/2020,15:52:42,555.56,34.00,36.78,No,29.63
30,27/10/2020,15:52:43,476.19,nan,No,29.63,
31,27/10/2020,15:52:43,588.24,34.00,36.78,No,29.62
32,27/10/2020,15:52:43,476.19,nan,No,29.61,
33,27/10/2020,15:52:44,454.55,nan,No,29.60,
34,27/10/2020,15:52:45,434.78,nan,No,29.59,
35,27/10/2020,15:52:45,434.78,nan,No,29.58,
36,27/10/2020,15:52:46,434.78,nan,No,29.58,
37,27/10/2020,15:52:46,434.78,nan,No,29.57,
38,27/10/2020,15:52:46,434.78,nan,No,29.57,
39,27/10/2020,15:52:47,416.67,nan,No,29.57,
40,27/10/2020,15:52:47,434.78,nan,No,29.56,
41,27/10/2020,15:52:47,434.78,nan,No,29.56,
42,27/10/2020,15:52:47,454.55,nan,No,29.55,
43,27/10/2020,15:52:48,555.56,34.00,36.78,No,29.55
44,27/10/2020,15:52:50,476.19,nan,No,29.53,
45,27/10/2020,15:52:50,454.55,nan,No,29.53,
46,27/10/2020,15:52:51,625.00,34.00,36.78,No,29.53
47,27/10/2020,15:52:51,454.55,nan,No,29.53,
48,27/10/2020,15:52:54,555.56,nan,No,29.50,
49,27/10/2020,15:52:54,476.19,nan,No,29.50,
50,27/10/2020,15:52:55,526.32,nan,No,29.49,
51,27/10/2020,15:52:55,454.55,nan,No,29.49,
52,27/10/2020,15:52:55,434.78,nan,No,29.49,
53,27/10/2020,15:52:56,434.78,nan,No,29.48,
54,27/10/2020,15:52:56,434.78,nan,No,29.48,
55,27/10/2020,15:52:56,454.55,nan,No,29.48,
56,27/10/2020,15:52:57,454.55,nan,No,29.48,
57,27/10/2020,15:52:57,454.55,nan,No,29.48,
58,27/10/2020,15:52:57,454.55,nan,No,29.48,
59,27/10/2020,15:52:58,434.78,nan,No,29.48,
60,27/10/2020,15:52:58,434.78,nan,No,29.48,
61,27/10/2020,15:52:58,454.55,nan,No,29.48,
62,27/10/2020,15:53:1,588.24,No,29.51,,
63,27/10/2020,15:53:1,555.56,No,29.51,,
64,27/10/2020,15:53:4,588.24,34.00,36.78,No,29.54
65,27/10/2020,15:53:7,434.78,nan,No,29.54,
66,27/10/2020,15:53:7,416.67,nan,No,29.55,
67,27/10/2020,15:53:8,476.19,nan,No,29.55,
68,27/10/2020,15:53:8,416.67,nan,No,29.56,
69,27/10/2020,15:53:9,434.78,nan,No,29.56,
70,27/10/2020,15:53:9,434.78,nan,No,29.56,
71,27/10/2020,15:53:10,434.78,nan,No,29.57,
72,27/10/2020,15:53:10,476.19,nan,No,29.57,
73,27/10/2020,15:53:11,476.19,nan,No,29.57,
74,27/10/2020,15:53:11,454.55,nan,No,29.57,
75,27/10/2020,15:53:12,434.78,nan,No,29.57,
76,27/10/2020,15:53:12,434.78,42.00,40.98,No,29.57
77,27/10/2020,15:53:12,434.78,nan,No,29.57,
78,27/10/2020,15:53:12,588.24,34.00,36.78,No,29.57
79,27/10/2020,15:53:13,476.19,nan,No,29.58,
80,27/10/2020,15:53:13,454.55,nan,No,29.58,
81,27/10/2020,15:53:15,434.78,nan,No,29.58,
82,27/10/2020,15:53:15,454.55,nan,No,29.57,
83,27/10/2020,15:53:16,476.19,42.00,40.98,No,29.57
84,27/10/2020,15:53:16,416.67,42.00,40.98,No,29.57
85,27/10/2020,15:53:16,476.19,42.00,40.98,No,29.57
86,27/10/2020,15:53:21,555.56,37.00,36.78,No,29.53
87,27/10/2020,15:53:27,555.56,34.98,36.76,No,29.49
88,27/10/2020,15:53:27,476.19,39.39,38.37,No,29.49
89,27/10/2020,15:53:28,434.78,42.00,40.98,No,29.49
90,27/10/2020,15:53:29,625.00,34.01,36.79,No,29.49
91,27/10/2020,15:53:29,454.55,nan,No,29.49,
92,27/10/2020,15:53:30,476.19,42.00,40.98,No,29.48
93,27/10/2020,15:53:30,666.67,35.00,36.78,No,29.48
94,27/10/2020,15:53:30,500.00,42.00,40.98,No,29.48
95,27/10/2020,15:53:31,434.78,nan,No,29.47,
96,27/10/2020,15:53:31,476.19,42.00,40.98,No,29.47
97,27/10/2020,15:53:32,454.55,42.00,40.98,No,29.47
98,27/10/2020,15:53:32,625.00,34.00,36.78,No,29.46
99,27/10/2020,15:53:32,416.67,42.00,40.98,No,29.46
