,Date,Time,Distance away,Unadjusted_Temp,Temperature,Overheated,Average ambient temperature
0,27/10/2020,16:8:54,555.56,38.46,39.88,No,28.58
1,27/10/2020,16:8:54,666.67,32.00,36.22,No,28.58
2,27/10/2020,16:8:55,588.24,nan,No,28.58,
3,27/10/2020,16:8:55,588.24,38.35,39.77,No,28.58
4,27/10/2020,16:8:55,625.00,39.00,40.42,No,28.57
5,27/10/2020,16:8:55,625.00,nan,No,28.57,
6,27/10/2020,16:8:55,526.32,nan,No,28.57,
7,27/10/2020,16:8:56,555.56,nan,No,28.56,
8,27/10/2020,16:8:56,500.00,40.00,41.42,No,28.56
9,27/10/2020,16:8:56,555.56,nan,No,28.56,
10,27/10/2020,16:8:56,555.56,nan,No,28.56,
11,27/10/2020,16:8:56,555.56,nan,No,28.55,
12,27/10/2020,16:8:57,526.32,nan,No,28.55,
13,27/10/2020,16:8:57,588.24,nan,No,28.55,
14,27/10/2020,16:8:57,526.32,nan,No,28.55,
15,27/10/2020,16:8:57,526.32,nan,No,28.54,
16,27/10/2020,16:8:57,625.00,No,28.54,,
17,27/10/2020,16:8:58,666.67,nan,No,28.54,
18,27/10/2020,16:8:58,476.19,nan,No,28.54,
19,27/10/2020,16:8:58,625.00,No,28.54,,
20,27/10/2020,16:8:58,555.56,nan,No,28.54,
21,27/10/2020,16:8:58,625.00,No,28.54,,
22,27/10/2020,16:8:58,500.00,nan,No,28.54,
23,27/10/2020,16:8:59,625.00,nan,No,28.54,
24,27/10/2020,16:8:59,625.00,nan,No,28.53,
25,27/10/2020,16:8:59,769.23,nan,No,28.53,
26,27/10/2020,16:8:59,666.67,No,28.53,,
27,27/10/2020,16:8:59,588.24,nan,No,28.53,
28,27/10/2020,16:9:0,714.29,nan,No,28.53,
29,27/10/2020,16:9:0,625.00,nan,No,28.53,
30,27/10/2020,16:9:2,588.24,nan,No,28.52,
31,27/10/2020,16:9:3,263.16,29.00,36.22,No,28.53
32,27/10/2020,16:9:3,666.67,No,28.53,,
33,27/10/2020,16:9:3,277.78,nan,No,28.54,
34,27/10/2020,16:9:4,238.10,nan,No,28.54,
35,27/10/2020,16:9:4,277.78,33.00,36.22,No,28.55
36,27/10/2020,16:9:4,303.03,33.00,36.22,No,28.55
37,27/10/2020,16:9:5,294.12,34.00,37.22,No,28.56
38,27/10/2020,16:9:5,625.00,nan,No,28.56,
39,27/10/2020,16:9:5,666.67,40.00,41.42,No,28.56
40,27/10/2020,16:9:5,500.00,nan,No,28.55,
41,27/10/2020,16:9:6,625.00,nan,No,28.54,
42,27/10/2020,16:9:6,625.00,38.31,39.73,No,28.53
43,27/10/2020,16:9:7,666.67,35.53,36.95,No,28.52
44,27/10/2020,16:9:7,625.00,35.72,37.15,No,28.52
45,27/10/2020,16:9:8,769.23,34.00,37.22,No,28.50
46,27/10/2020,16:9:8,714.29,No,28.50,,
