,Date,Time,Distance away,Unadjusted_Temp,Temperature,Overheated,Average ambient temperature
0,27/10/2020,15:31:25,138.89,37.13,38.56,pause,28.73
1,27/10/2020,15:31:26,131.58,36.96,38.39,pause,28.74
2,27/10/2020,15:31:26,135.14,34.53,36.31,No,28.74
3,27/10/2020,15:31:26,129.87,34.16,36.93,No,28.74
4,27/10/2020,15:31:27,135.14,33.89,36.67,No,28.75
5,27/10/2020,15:31:27,416.67,No,28.75,,
6,27/10/2020,15:31:28,416.67,No,28.75,,
7,27/10/2020,15:31:28,416.67,No,28.76,,
8,27/10/2020,15:31:28,434.78,No,28.76,,
9,27/10/2020,15:31:29,416.67,No,28.76,,
10,27/10/2020,15:31:29,416.67,No,28.76,,
11,27/10/2020,15:31:29,161.29,33.50,36.72,No,28.76
12,27/10/2020,15:31:31,476.19,No,28.83,,
13,27/10/2020,15:31:43,322.58,nan,No,29.67,
14,27/10/2020,15:31:44,322.58,nan,No,29.69,
15,27/10/2020,15:31:44,384.62,34.00,36.78,No,29.71
16,27/10/2020,15:31:45,357.14,34.00,36.78,No,29.71
17,27/10/2020,15:31:45,434.78,34.00,36.78,No,29.70
18,27/10/2020,15:31:46,200.00,34.27,36.75,No,29.67
19,27/10/2020,15:31:47,212.77,36.00,36.78,No,29.64
20,27/10/2020,15:31:48,208.33,36.00,36.78,No,29.64
21,27/10/2020,15:31:48,208.33,35.03,36.80,No,29.63
22,27/10/2020,15:31:48,222.22,35.03,36.81,No,29.62
23,27/10/2020,15:31:49,232.56,35.03,36.81,No,29.61
24,27/10/2020,15:31:49,208.33,36.00,36.78,No,29.60
25,27/10/2020,15:31:49,222.22,36.00,36.78,No,29.59
26,27/10/2020,15:31:49,555.56,35.00,36.78,No,29.59
27,27/10/2020,15:31:50,227.27,36.00,36.78,No,29.58
28,27/10/2020,15:31:50,500.00,40.16,39.14,No,29.58
29,27/10/2020,15:31:50,434.78,40.21,39.19,No,29.57
30,27/10/2020,15:31:50,227.27,35.05,36.83,No,29.57
31,27/10/2020,15:31:50,434.78,39.01,37.99,No,29.56
32,27/10/2020,15:31:50,212.77,35.04,36.82,No,29.56
33,27/10/2020,15:31:51,400.00,nan,No,29.54,
34,27/10/2020,15:31:51,208.33,36.00,36.78,No,29.54
35,27/10/2020,15:31:51,416.67,34.00,36.78,No,29.53
36,27/10/2020,15:31:51,222.22,36.00,36.78,No,29.53
37,27/10/2020,15:31:51,285.71,No,29.53,,
38,27/10/2020,15:31:51,285.71,No,29.51,,
39,27/10/2020,15:31:51,370.37,34.00,36.78,No,29.51
40,27/10/2020,15:31:51,217.39,36.00,36.78,No,29.51
41,27/10/2020,15:31:52,357.14,34.00,36.78,No,29.50
42,27/10/2020,15:31:52,277.78,No,29.50,,
43,27/10/2020,15:31:52,238.10,35.01,36.79,No,29.50
44,27/10/2020,15:31:52,270.27,No,29.48,,
45,27/10/2020,15:31:52,344.83,34.00,36.78,No,29.48
46,27/10/2020,15:31:52,285.71,No,29.46,,
47,27/10/2020,15:31:52,232.56,nan,No,29.46,
48,27/10/2020,15:31:52,333.33,nan,No,29.46,
49,27/10/2020,15:31:53,370.37,nan,No,29.43,
50,27/10/2020,15:31:53,232.56,38.21,37.19,No,29.41
51,27/10/2020,15:31:53,357.14,nan,No,29.41,
52,27/10/2020,15:31:54,333.33,nan,No,29.40,
53,27/10/2020,15:31:54,256.41,41.00,39.98,No,29.40
54,27/10/2020,15:31:54,333.33,34.00,36.78,No,29.38
55,27/10/2020,15:31:54,270.27,38.86,37.84,No,29.38
56,27/10/2020,15:31:54,312.50,34.00,36.78,No,29.38
57,27/10/2020,15:31:56,250.00,31.02,36.80,No,29.30
58,27/10/2020,15:31:56,243.90,34.83,36.61,No,29.29
59,27/10/2020,15:31:57,227.27,38.76,37.74,No,29.26
60,27/10/2020,15:31:57,227.27,33.04,36.82,No,29.25
61,27/10/2020,15:31:57,256.41,32.00,36.78,No,29.24
62,27/10/2020,15:31:59,243.90,32.19,36.96,No,29.20
63,27/10/2020,15:31:59,238.10,32.26,36.74,No,29.19
64,27/10/2020,15:32:4,250.00,No,29.16,,
65,27/10/2020,15:32:5,263.16,32.80,36.58,No,29.15
66,27/10/2020,15:32:5,263.16,32.42,36.90,No,29.14
67,27/10/2020,15:32:5,256.41,32.21,36.99,No,29.14
68,27/10/2020,15:32:5,263.16,32.00,36.78,No,29.13
69,27/10/2020,15:32:6,238.10,32.00,36.78,No,29.13
70,27/10/2020,15:32:7,250.00,No,29.12,,
71,27/10/2020,15:32:8,303.03,No,29.12,,
72,27/10/2020,15:32:8,294.12,No,29.12,,
73,27/10/2020,15:32:8,256.41,32.10,36.88,No,29.12
74,27/10/2020,15:32:9,303.03,No,29.13,,
75,27/10/2020,15:32:9,285.71,No,29.13,,
76,27/10/2020,15:32:9,243.90,32.38,36.86,No,29.13
77,27/10/2020,15:32:9,294.12,No,29.13,,
78,27/10/2020,15:32:10,285.71,No,29.13,,
79,27/10/2020,15:32:10,285.71,No,29.13,,
80,27/10/2020,15:32:10,263.16,No,29.13,,
81,27/10/2020,15:32:10,250.00,No,29.13,,
82,27/10/2020,15:32:11,256.41,No,29.13,,
83,27/10/2020,15:32:11,270.27,No,29.12,,
84,27/10/2020,15:32:12,238.10,32.00,36.78,No,29.11
85,27/10/2020,15:32:12,256.41,No,29.11,,
86,27/10/2020,15:32:12,250.00,32.00,36.78,No,29.11
87,27/10/2020,15:32:15,250.00,32.00,36.78,No,29.10
88,27/10/2020,15:32:15,175.44,nan,No,29.11,
89,27/10/2020,15:32:15,227.27,32.00,36.78,No,29.10
90,27/10/2020,15:32:16,196.08,34.00,36.78,No,29.09
91,27/10/2020,15:32:16,238.10,39.09,38.07,No,29.09
92,27/10/2020,15:32:16,256.41,nan,No,29.09,
93,27/10/2020,15:32:16,217.39,34.00,36.78,No,29.09
94,27/10/2020,15:32:17,212.77,31.57,36.35,No,29.09
95,27/10/2020,15:32:17,208.33,34.34,36.82,No,29.09
96,27/10/2020,15:32:17,208.33,39.73,38.71,pause,29.09
97,27/10/2020,15:32:17,263.16,34.00,36.78,No,29.09
98,27/10/2020,15:32:18,204.08,42.00,40.98,pause,29.09
99,27/10/2020,15:32:18,250.00,34.00,36.78,No,29.09
