,Date,Time,Distance away,Unadjusted_Temp,Temperature,Overheated,Average ambient temperature
0,27/10/2020,16:13:16,357.14,39.00,37.98,No,29.31
1,27/10/2020,16:13:16,370.37,No,29.31,,
2,27/10/2020,16:13:16,384.62,No,29.31,,
3,27/10/2020,16:13:16,333.33,39.00,37.98,No,29.31
4,27/10/2020,16:13:16,384.62,No,29.31,,
5,27/10/2020,16:13:17,312.50,No,29.31,,
6,27/10/2020,16:13:17,370.37,38.11,37.09,No,29.31
7,27/10/2020,16:13:17,370.37,No,29.30,,
8,27/10/2020,16:13:17,344.83,35.00,36.78,No,29.30
9,27/10/2020,16:13:17,370.37,36.20,36.98,No,29.30
10,27/10/2020,16:13:17,322.58,35.00,36.78,No,29.30
11,27/10/2020,16:13:17,357.14,No,29.30,,
12,27/10/2020,16:13:17,357.14,35.00,36.78,No,29.30
13,27/10/2020,16:13:18,344.83,No,29.30,,
14,27/10/2020,16:13:18,370.37,34.00,36.78,No,29.30
15,27/10/2020,16:13:18,384.62,nan,No,29.30,
16,27/10/2020,16:13:18,333.33,No,29.30,,
17,27/10/2020,16:13:18,357.14,nan,No,29.30,
18,27/10/2020,16:13:18,333.33,nan,No,29.30,
19,27/10/2020,16:13:18,357.14,No,29.30,,
20,27/10/2020,16:13:18,270.27,34.04,36.82,No,29.30
21,27/10/2020,16:13:18,357.14,38.33,37.31,No,29.30
22,27/10/2020,16:13:19,204.08,35.00,36.78,No,29.30
23,27/10/2020,16:13:19,357.14,No,29.30,,
24,27/10/2020,16:13:19,322.58,nan,No,29.31,
25,27/10/2020,16:13:20,357.14,32.00,36.78,No,29.30
26,27/10/2020,16:13:20,333.33,32.00,36.78,No,29.30
27,27/10/2020,16:13:20,370.37,33.26,36.74,No,29.30
28,27/10/2020,16:13:20,357.14,32.10,36.88,No,29.30
29,27/10/2020,16:13:20,588.24,34.00,36.78,No,29.30
30,27/10/2020,16:13:21,312.50,34.00,36.78,No,29.30
31,27/10/2020,16:13:21,588.24,nan,No,29.30,
32,27/10/2020,16:13:21,588.24,nan,No,29.30,
33,27/10/2020,16:13:23,250.00,34.07,36.85,No,29.31
34,27/10/2020,16:13:37,263.16,nan,No,29.93,
35,27/10/2020,16:13:37,277.78,nan,No,29.93,
36,27/10/2020,16:13:38,270.27,33.08,36.86,No,29.92
37,27/10/2020,16:13:38,277.78,34.00,36.78,No,29.91
38,27/10/2020,16:13:38,285.71,34.00,36.78,No,29.89
39,27/10/2020,16:13:39,294.12,nan,No,29.87,
40,27/10/2020,16:13:39,270.27,nan,No,29.85,
41,27/10/2020,16:13:39,285.71,34.00,36.78,No,29.83
42,27/10/2020,16:13:40,277.78,nan,No,29.82,
43,27/10/2020,16:13:40,270.27,40.00,38.98,No,29.80
44,27/10/2020,16:13:40,277.78,39.00,37.98,No,29.78
45,27/10/2020,16:13:41,270.27,39.00,37.98,No,29.76
46,27/10/2020,16:13:41,232.56,37.95,36.93,No,29.75
47,27/10/2020,16:13:41,294.12,34.56,36.34,No,29.75
48,27/10/2020,16:13:41,238.10,No,29.75,,
49,27/10/2020,16:13:41,217.39,34.27,36.75,No,29.74
50,27/10/2020,16:13:41,285.71,nan,No,29.74,
51,27/10/2020,16:13:42,204.08,34.05,36.83,No,29.72
52,27/10/2020,16:13:42,294.12,35.00,36.78,No,29.72
53,27/10/2020,16:13:42,204.08,32.76,36.54,No,29.71
54,27/10/2020,16:13:42,285.71,35.00,36.78,No,29.71
55,27/10/2020,16:13:42,200.00,32.33,36.80,No,29.69
56,27/10/2020,16:13:42,277.78,34.02,36.80,No,29.69
57,27/10/2020,16:13:43,196.08,32.30,36.77,No,29.67
58,27/10/2020,16:13:43,303.03,34.02,36.80,No,29.67
59,27/10/2020,16:13:43,204.08,32.08,36.86,No,29.66
60,27/10/2020,16:13:43,285.71,35.00,36.78,No,29.66
61,27/10/2020,16:13:43,196.08,32.34,36.82,No,29.64
62,27/10/2020,16:13:43,277.78,35.00,36.78,No,29.64
63,27/10/2020,16:13:44,204.08,32.23,36.71,No,29.62
64,27/10/2020,16:13:44,263.16,35.00,36.78,No,29.62
65,27/10/2020,16:13:44,196.08,32.20,36.98,No,29.60
66,27/10/2020,16:13:44,263.16,35.00,36.78,No,29.60
67,27/10/2020,16:13:44,192.31,32.28,36.76,No,29.59
68,27/10/2020,16:13:44,256.41,35.00,36.78,No,29.59
69,27/10/2020,16:13:45,208.33,32.35,36.83,No,29.57
70,27/10/2020,16:13:45,227.27,35.00,36.78,No,29.57
71,27/10/2020,16:13:45,232.56,35.00,36.78,No,29.55
72,27/10/2020,16:13:45,212.77,32.43,36.21,No,29.55
73,27/10/2020,16:13:45,200.00,No,29.55,,
74,27/10/2020,16:13:45,208.33,32.33,36.81,No,29.53
75,27/10/2020,16:13:45,232.56,35.00,36.78,No,29.53
76,27/10/2020,16:13:45,178.57,34.00,36.78,No,29.53
77,27/10/2020,16:13:45,196.08,No,29.53,,
78,27/10/2020,16:13:46,200.00,32.36,36.84,No,29.51
79,27/10/2020,16:13:46,188.68,No,29.51,,
80,27/10/2020,16:13:46,204.08,35.00,36.78,No,29.51
81,27/10/2020,16:13:46,185.19,33.13,36.91,No,29.51
82,27/10/2020,16:13:46,204.08,32.38,36.86,No,29.50
83,27/10/2020,16:13:46,185.19,36.17,36.95,No,29.50
84,27/10/2020,16:13:46,227.27,32.61,36.39,No,29.48
85,27/10/2020,16:13:46,181.82,36.35,36.83,No,29.48
86,27/10/2020,16:13:47,212.77,35.41,36.89,No,29.46
87,27/10/2020,16:13:47,200.00,35.00,36.78,No,29.46
88,27/10/2020,16:13:47,212.77,36.33,36.80,No,29.44
89,27/10/2020,16:13:47,217.39,36.38,36.86,No,29.42
90,27/10/2020,16:13:47,169.49,35.00,36.78,No,29.42
91,27/10/2020,16:13:48,227.27,36.38,36.86,No,29.40
92,27/10/2020,16:13:48,158.73,35.00,36.78,No,29.40
93,27/10/2020,16:13:48,192.31,33.08,36.86,No,29.38
94,27/10/2020,16:13:48,172.41,35.00,36.78,No,29.38
95,27/10/2020,16:13:48,172.41,35.00,36.78,No,29.36
96,27/10/2020,16:13:49,232.56,37.58,37.36,No,29.35
97,27/10/2020,16:13:49,175.44,35.00,36.78,No,29.34
98,27/10/2020,16:13:49,232.56,39.19,38.17,No,29.34
99,27/10/2020,16:13:49,322.58,39.00,37.98,No,29.34
