,Date,Time,Distance away,Unadjusted_Temp,Temperature,Overheated,Average ambient temperature
0,27/10/2020,15:30:17,256.41,No,29.39,,
1,27/10/2020,15:30:17,172.41,34.30,36.78,No,29.39
2,27/10/2020,15:30:17,166.67,34.33,36.81,No,29.37
3,27/10/2020,15:30:17,250.00,No,29.37,,
4,27/10/2020,15:30:18,270.27,No,29.34,,
5,27/10/2020,15:30:18,172.41,34.18,36.95,No,29.34
6,27/10/2020,15:30:18,175.44,34.21,36.99,No,29.32
7,27/10/2020,15:30:18,263.16,No,29.32,,
8,27/10/2020,15:30:18,175.44,34.16,36.94,No,29.28
9,27/10/2020,15:30:18,256.41,No,29.28,,
10,27/10/2020,15:30:19,263.16,No,29.24,,
11,27/10/2020,15:30:19,172.41,34.19,36.96,No,29.24
12,27/10/2020,15:30:19,166.67,35.00,36.78,No,29.22
13,27/10/2020,15:30:19,256.41,No,29.22,,
14,27/10/2020,15:30:19,175.44,34.47,36.25,No,29.20
15,27/10/2020,15:30:19,256.41,No,29.20,,
16,27/10/2020,15:30:20,256.41,No,29.17,,
17,27/10/2020,15:30:20,172.41,35.00,36.78,No,29.17
18,27/10/2020,15:30:20,250.00,No,29.16,,
19,27/10/2020,15:30:20,169.49,35.00,36.78,No,29.16
20,27/10/2020,15:30:20,256.41,No,29.15,,
21,27/10/2020,15:30:20,172.41,35.00,36.78,No,29.15
22,27/10/2020,15:30:20,250.00,No,29.15,,
23,27/10/2020,15:30:20,169.49,35.00,36.78,No,29.15
24,27/10/2020,15:30:21,256.41,No,29.14,,
25,27/10/2020,15:30:21,175.44,34.47,36.25,No,29.14
26,27/10/2020,15:30:21,175.44,34.44,36.22,No,29.13
27,27/10/2020,15:30:21,256.41,No,29.13,,
28,27/10/2020,15:30:21,256.41,No,29.12,,
29,27/10/2020,15:30:21,172.41,34.45,36.23,No,29.12
30,27/10/2020,15:30:22,250.00,No,29.11,,
31,27/10/2020,15:30:22,169.49,34.40,36.88,No,29.11
32,27/10/2020,15:30:22,172.41,34.41,36.89,No,29.09
33,27/10/2020,15:30:22,263.16,No,29.09,,
34,27/10/2020,15:30:22,172.41,34.36,36.79,No,29.08
35,27/10/2020,15:30:22,250.00,No,29.08,,
36,27/10/2020,15:30:23,175.44,34.41,36.84,No,29.06
37,27/10/2020,15:30:23,243.90,No,29.06,,
