,Date,Time,Distance away,Unadjusted_Temp,Temperature,Overheated,Average ambient temperature
0,27/10/2020,15:18:37,476.19,No,29.88,,
1,27/10/2020,15:18:37,476.19,nan,No,29.88,
2,27/10/2020,15:18:37,454.55,No,29.88,,
3,27/10/2020,15:18:37,476.19,No,29.87,,
4,27/10/2020,15:18:37,476.19,nan,No,29.87,
5,27/10/2020,15:18:37,555.56,nan,No,29.86,
6,27/10/2020,15:18:38,416.67,No,29.85,,
7,27/10/2020,15:18:38,625.00,34.00,36.78,No,29.85
8,27/10/2020,15:18:38,555.56,35.53,36.31,No,29.85
9,27/10/2020,15:18:38,434.78,No,29.84,,
10,27/10/2020,15:18:38,476.19,No,29.84,,
11,27/10/2020,15:18:39,454.55,nan,No,29.83,
12,27/10/2020,15:18:39,476.19,nan,No,29.83,
13,27/10/2020,15:18:39,476.19,nan,No,29.83,
14,27/10/2020,15:18:39,454.55,nan,No,29.83,
15,27/10/2020,15:18:40,454.55,nan,No,29.82,
16,27/10/2020,15:18:40,416.67,36.11,36.89,No,29.82
17,27/10/2020,15:18:40,454.55,nan,No,29.81,
18,27/10/2020,15:18:40,476.19,nan,No,29.81,
19,27/10/2020,15:18:40,555.56,34.00,36.78,No,29.81
20,27/10/2020,15:18:40,476.19,38.79,37.77,No,29.81
21,27/10/2020,15:18:41,500.00,37.20,36.98,No,29.81
22,27/10/2020,15:18:41,500.00,No,29.81,,
23,27/10/2020,15:18:41,500.00,nan,No,29.81,
24,27/10/2020,15:18:41,588.24,nan,No,29.81,
25,27/10/2020,15:18:41,526.32,34.44,36.22,No,29.80
26,27/10/2020,15:18:41,454.55,39.36,38.34,No,29.80
27,27/10/2020,15:18:41,526.32,No,29.80,,
28,27/10/2020,15:18:41,476.19,nan,No,29.80,
29,27/10/2020,15:18:41,476.19,nan,No,29.79,
30,27/10/2020,15:18:41,500.00,34.10,36.88,No,29.79
31,27/10/2020,15:18:42,500.00,nan,No,29.78,
32,27/10/2020,15:18:42,454.55,nan,No,29.78,
33,27/10/2020,15:18:42,344.83,34.00,36.78,No,29.77
34,27/10/2020,15:18:42,500.00,No,29.77,,
35,27/10/2020,15:18:42,500.00,nan,No,29.76,
36,27/10/2020,15:18:42,370.37,nan,No,29.76,
37,27/10/2020,15:18:42,588.24,No,29.76,,
38,27/10/2020,15:18:43,500.00,nan,No,29.75,
39,27/10/2020,15:18:43,588.24,nan,No,29.71,
40,27/10/2020,15:18:44,555.56,nan,No,29.69,
41,27/10/2020,15:18:44,333.33,34.00,36.78,No,29.69
42,27/10/2020,15:18:44,476.19,nan,No,29.67,
43,27/10/2020,15:18:44,476.19,38.76,37.73,No,29.67
44,27/10/2020,15:18:44,555.56,No,29.67,,
45,27/10/2020,15:18:44,526.32,nan,No,29.67,
46,27/10/2020,15:18:44,333.33,34.00,36.78,No,29.67
47,27/10/2020,15:18:45,555.56,No,29.66,,
48,27/10/2020,15:18:45,526.32,38.57,37.55,No,29.66
49,27/10/2020,15:18:45,476.19,38.79,37.77,No,29.64
50,27/10/2020,15:18:45,285.71,34.00,36.78,No,29.64
51,27/10/2020,15:18:45,476.19,39.43,38.41,No,29.63
52,27/10/2020,15:18:45,476.19,No,29.63,,
53,27/10/2020,15:18:46,500.00,39.57,38.55,No,29.62
54,27/10/2020,15:18:46,526.32,nan,No,29.62,
55,27/10/2020,15:18:46,555.56,nan,No,29.61,
56,27/10/2020,15:18:46,526.32,40.00,38.98,No,29.61
57,27/10/2020,15:18:46,625.00,nan,No,29.61,
58,27/10/2020,15:18:46,526.32,40.00,38.98,No,29.61
59,27/10/2020,15:18:47,588.24,nan,No,29.61,
60,27/10/2020,15:18:47,285.71,35.00,36.78,No,29.61
61,27/10/2020,15:18:47,500.00,nan,No,29.61,
62,27/10/2020,15:18:47,312.50,nan,No,29.61,
63,27/10/2020,15:18:47,526.32,40.00,38.98,No,29.61
64,27/10/2020,15:18:48,322.58,nan,No,29.62,
65,27/10/2020,15:18:48,526.32,40.00,38.98,No,29.62
66,27/10/2020,15:18:48,434.78,34.10,36.88,No,29.62
67,27/10/2020,15:18:48,555.56,40.00,38.98,No,29.62
68,27/10/2020,15:18:49,454.55,36.06,36.84,No,29.62
69,27/10/2020,15:18:49,434.78,35.99,36.76,No,29.62
70,27/10/2020,15:18:49,555.56,No,29.62,,
71,27/10/2020,15:18:49,434.78,35.27,36.75,No,29.62
72,27/10/2020,15:18:49,500.00,33.00,36.78,No,29.62
73,27/10/2020,15:18:49,526.32,39.54,38.52,No,29.62
74,27/10/2020,15:18:49,555.56,No,29.62,,
75,27/10/2020,15:18:50,500.00,No,29.62,,
76,27/10/2020,15:18:50,500.00,39.57,38.55,No,29.62
77,27/10/2020,15:18:50,526.32,No,29.62,,
78,27/10/2020,15:18:50,454.55,No,29.62,,
79,27/10/2020,15:18:50,476.19,39.59,38.57,No,29.62
80,27/10/2020,15:18:50,270.27,nan,No,29.62,
81,27/10/2020,15:18:50,454.55,No,29.62,,
82,27/10/2020,15:18:50,476.19,nan,No,29.62,
83,27/10/2020,15:18:50,555.56,No,29.62,,
84,27/10/2020,15:18:51,526.32,39.41,38.39,No,29.62
85,27/10/2020,15:18:51,416.67,No,29.62,,
86,27/10/2020,15:18:51,434.78,nan,No,29.62,
