,Date,Time,Distance away,Unadjusted_Temp,Temperature,Overheated,Average ambient temperature
0,29/9/2020,12:32:46,149.25,No,20.46,,
1,29/9/2020,12:32:47,147.06,No,20.46,,
2,29/9/2020,12:32:47,434.78,21.50,36.45,No,20.47
3,29/9/2020,12:32:47,149.25,No,20.47,,
4,29/9/2020,12:32:47,370.37,22.66,36.61,No,20.47
5,29/9/2020,12:32:47,322.58,23.36,36.31,No,20.47
6,29/9/2020,12:32:47,151.52,No,20.47,,
7,29/9/2020,12:32:48,370.37,22.08,36.73,No,20.48
8,29/9/2020,12:32:48,151.52,No,20.48,,
9,29/9/2020,12:32:48,344.83,22.83,36.78,No,20.48
10,29/9/2020,12:32:48,344.83,23.55,36.50,No,20.49
11,29/9/2020,12:32:48,357.14,23.06,36.71,No,20.49
12,29/9/2020,12:32:49,384.62,23.10,36.75,No,20.50
13,29/9/2020,12:32:49,384.62,21.44,36.39,No,20.50
14,29/9/2020,12:32:49,434.78,22.36,36.31,No,20.49
15,29/9/2020,12:32:49,344.83,22.95,36.90,No,20.49
16,29/9/2020,12:32:49,151.52,No,20.49,,
17,29/9/2020,12:32:50,344.83,22.42,36.37,No,20.49
18,29/9/2020,12:32:50,357.14,22.18,36.83,No,20.48
19,29/9/2020,12:32:50,384.62,23.47,36.42,No,20.48
20,29/9/2020,12:32:50,147.06,No,20.48,,
21,29/9/2020,12:32:50,147.06,No,20.48,,
22,29/9/2020,12:32:51,153.85,No,20.49,,
23,29/9/2020,12:32:51,400.00,24.00,36.95,No,20.49
24,29/9/2020,12:32:51,400.00,22.27,36.22,No,20.49
25,29/9/2020,12:32:51,434.78,22.89,36.84,No,20.49
26,29/9/2020,12:32:51,434.78,22.55,36.50,No,20.49
27,29/9/2020,12:32:52,434.78,22.45,36.40,No,20.50
28,29/9/2020,12:32:52,416.67,22.80,36.75,No,20.50
29,29/9/2020,12:32:52,370.37,22.94,36.89,No,20.50
30,29/9/2020,12:32:53,370.37,22.63,36.58,No,20.50
31,29/9/2020,12:32:53,384.62,22.59,36.54,No,20.50
32,29/9/2020,12:32:53,172.41,No,20.50,,
33,29/9/2020,12:32:53,384.62,22.86,36.81,No,20.51
34,29/9/2020,12:32:53,158.73,No,20.51,,
35,29/9/2020,12:32:53,416.67,22.77,36.72,No,20.51
36,29/9/2020,12:32:53,163.93,No,20.51,,
37,29/9/2020,12:32:54,434.78,22.39,36.34,No,20.51
38,29/9/2020,12:32:54,163.93,No,20.51,,
39,29/9/2020,12:32:54,384.62,22.86,36.81,No,20.51
40,29/9/2020,12:32:54,166.67,No,20.51,,
41,29/9/2020,12:32:54,384.62,22.70,36.65,No,20.52
42,29/9/2020,12:32:54,161.29,No,20.52,,
43,29/9/2020,12:32:55,370.37,22.95,36.90,No,20.52
44,29/9/2020,12:32:55,169.49,No,20.52,,
45,29/9/2020,12:32:55,370.37,22.85,36.80,No,20.52
46,29/9/2020,12:32:55,169.49,No,20.52,,
47,29/9/2020,12:32:55,370.37,22.88,36.83,No,20.52
48,29/9/2020,12:32:55,178.57,No,20.52,,
49,29/9/2020,12:32:55,370.37,22.73,36.68,No,20.53
50,29/9/2020,12:32:55,181.82,No,20.53,,
51,29/9/2020,12:32:56,384.62,22.68,36.63,No,20.53
52,29/9/2020,12:32:56,172.41,No,20.53,,
53,29/9/2020,12:32:56,400.00,22.52,36.47,No,20.53
54,29/9/2020,12:32:56,172.41,No,20.53,,
55,29/9/2020,12:32:56,384.62,22.81,36.76,No,20.53
56,29/9/2020,12:32:56,156.25,No,20.53,,
57,29/9/2020,12:32:56,384.62,22.78,36.73,No,20.53
58,29/9/2020,12:32:57,384.62,22.73,36.68,No,20.53
59,29/9/2020,12:32:57,163.93,No,20.53,,
60,29/9/2020,12:32:57,370.37,22.81,36.76,No,20.53
61,29/9/2020,12:32:57,384.62,22.81,36.76,No,20.53
62,29/9/2020,12:32:57,158.73,No,20.53,,
63,29/9/2020,12:32:57,400.00,22.89,36.84,No,20.53
64,29/9/2020,12:32:57,163.93,No,20.53,,
65,29/9/2020,12:32:58,400.00,22.89,36.84,No,20.53
66,29/9/2020,12:32:58,161.29,No,20.53,,
67,29/9/2020,12:32:58,400.00,22.60,36.55,No,20.53
68,29/9/2020,12:32:58,434.78,22.31,36.26,No,20.54
69,29/9/2020,12:32:58,161.29,No,20.54,,
70,29/9/2020,12:32:59,416.67,22.41,36.36,No,20.54
71,29/9/2020,12:32:59,156.25,No,20.54,,
72,29/9/2020,12:32:59,400.00,22.56,36.51,No,20.54
73,29/9/2020,12:32:59,158.73,No,20.54,,
74,29/9/2020,12:32:59,434.78,nan,No,20.54,
75,29/9/2020,12:32:59,161.29,No,20.54,,
76,29/9/2020,12:32:59,434.78,22.39,36.34,No,20.54
77,29/9/2020,12:32:59,161.29,No,20.54,,
78,29/9/2020,12:33:0,400.00,22.79,36.74,No,20.54
79,29/9/2020,12:33:0,163.93,No,20.54,,
80,29/9/2020,12:33:0,400.00,22.38,36.33,No,20.54
81,29/9/2020,12:33:0,158.73,No,20.54,,
82,29/9/2020,12:33:0,344.83,22.61,36.56,No,20.54
83,29/9/2020,12:33:0,357.14,22.79,36.74,No,20.54
84,29/9/2020,12:33:1,357.14,23.94,36.89,No,20.54
85,29/9/2020,12:33:1,333.33,22.52,36.47,No,20.54
86,29/9/2020,12:33:1,151.52,No,20.54,,
87,29/9/2020,12:33:1,322.58,23.38,36.33,No,20.55
88,29/9/2020,12:33:2,384.62,22.00,36.95,No,20.55
89,29/9/2020,12:33:2,312.50,26.50,36.45,No,20.55
90,29/9/2020,12:33:2,285.71,25.33,36.28,No,20.55
91,29/9/2020,12:33:3,238.10,26.68,36.63,No,20.56
92,29/9/2020,12:33:3,156.25,No,20.56,,
93,29/9/2020,12:33:3,208.33,28.00,36.95,No,20.56
94,29/9/2020,12:33:3,192.31,28.00,36.95,No,20.57
95,29/9/2020,12:33:3,158.73,No,20.57,,
96,29/9/2020,12:33:3,107.53,No,20.58,,
97,29/9/2020,12:33:3,158.73,No,20.58,,
98,29/9/2020,12:33:4,166.67,No,20.58,,
99,29/9/2020,12:33:4,153.85,No,20.58,,
