,Date,Time,Distance away,Temperature,Overheated,Average ambient temperature
0,15/6/2020,14:4:39,222.22,36.70,No,18.12
1,15/6/2020,14:4:40,243.90,36.95,No,18.11
2,15/6/2020,14:4:40,204.08,36.95,No,18.11
3,15/6/2020,14:4:40,188.68,36.95,No,18.11
4,15/6/2020,14:4:40,175.44,36.95,No,18.11
5,15/6/2020,14:4:40,175.44,36.95,No,18.11
6,15/6/2020,14:4:41,140.85,36.40,No,18.11
7,15/6/2020,14:4:41,153.85,36.72,No,18.11
8,15/6/2020,14:4:41,119.05,36.28,No,18.12
9,15/6/2020,14:4:41,129.87,36.30,No,18.12
10,15/6/2020,14:4:41,129.87,36.95,No,18.12
11,15/6/2020,14:4:41,123.46,36.34,No,18.13
12,15/6/2020,14:4:41,120.48,36.99,No,18.13
13,15/6/2020,14:4:42,113.64,36.88,No,18.13
14,15/6/2020,14:4:42,90.91,36.43,No,18.14
15,15/6/2020,14:4:42,74.07,36.50,No,18.18
16,15/6/2020,14:4:42,80.00,36.50,No,18.19
17,15/6/2020,14:5:2,85.47,36.50,No,18.14
18,15/6/2020,14:5:15,312.50,36.95,No,18.09
19,15/6/2020,14:5:15,285.71,36.95,No,18.09
20,15/6/2020,14:5:15,294.12,36.95,No,18.09
21,15/6/2020,14:5:15,285.71,36.95,No,18.09
22,15/6/2020,14:5:15,285.71,36.95,No,18.08
23,15/6/2020,14:5:16,250.00,36.97,No,18.08
24,15/6/2020,14:5:16,243.90,36.95,No,18.08
25,15/6/2020,14:5:16,232.56,36.95,No,18.08
26,15/6/2020,14:5:16,208.33,36.95,No,18.08
27,15/6/2020,14:5:16,196.08,36.34,No,18.08
28,15/6/2020,14:5:16,178.57,36.53,No,18.08
29,15/6/2020,14:5:17,169.49,36.73,No,18.08
30,15/6/2020,14:5:17,156.25,36.90,No,18.07
31,15/6/2020,14:5:17,149.25,36.68,No,18.08
32,15/6/2020,14:5:17,135.14,36.75,No,18.07
33,15/6/2020,14:5:17,120.48,36.96,No,18.07
34,15/6/2020,14:5:17,109.89,36.70,No,18.07
35,15/6/2020,14:5:18,104.17,36.95,No,18.08
36,15/6/2020,14:5:18,86.21,36.50,No,18.11
37,15/6/2020,14:5:18,100.00,36.50,No,18.12
38,15/6/2020,14:5:38,135.14,36.50,No,18.20
39,15/6/2020,14:5:38,123.46,36.95,No,18.20
40,15/6/2020,14:5:38,111.11,36.50,No,18.20
41,15/6/2020,14:5:38,106.38,36.95,No,18.20
42,15/6/2020,14:5:39,109.89,36.95,No,18.20
43,15/6/2020,14:5:39,111.11,36.95,No,18.20
44,15/6/2020,14:5:39,111.11,36.81,No,18.20
45,15/6/2020,14:5:39,106.38,36.99,No,18.21
46,15/6/2020,14:5:39,106.38,36.75,No,18.22
47,15/6/2020,14:5:39,102.04,36.74,No,18.24
48,15/6/2020,14:5:39,102.04,36.95,No,18.25
49,15/6/2020,14:5:40,104.17,36.95,No,18.26
50,15/6/2020,14:5:40,103.09,36.95,No,18.27
51,15/6/2020,14:5:40,104.17,36.95,No,18.27
52,15/6/2020,14:5:40,105.26,36.72,No,18.28
53,15/6/2020,14:5:40,105.26,36.81,No,18.29
54,15/6/2020,14:5:40,104.17,36.95,No,18.30
55,15/6/2020,14:5:40,105.26,36.71,No,18.31
56,15/6/2020,14:5:41,105.26,36.83,No,18.32
57,15/6/2020,14:5:41,105.26,36.72,No,18.33
58,15/6/2020,14:5:41,104.17,36.95,No,18.34
59,15/6/2020,14:5:41,103.09,36.25,No,18.34
60,15/6/2020,14:5:41,103.09,36.95,No,18.35
61,15/6/2020,14:5:41,104.17,36.97,No,18.36
62,15/6/2020,14:5:42,106.38,36.95,No,18.37
63,15/6/2020,14:5:42,108.70,36.71,No,18.38
64,15/6/2020,14:5:42,109.89,36.95,No,18.39
65,15/6/2020,14:5:42,112.36,36.98,No,18.40
66,15/6/2020,14:5:42,119.05,36.95,No,18.41
67,15/6/2020,14:5:42,120.48,36.97,No,18.42
68,15/6/2020,14:5:42,129.87,36.95,No,18.43
69,15/6/2020,14:5:43,149.25,36.71,No,18.43
70,15/6/2020,14:5:43,149.25,36.97,No,18.46
71,15/6/2020,14:5:43,163.93,36.71,No,18.47
72,15/6/2020,14:5:45,98.04,36.50,No,18.56
73,15/6/2020,14:5:45,95.24,36.50,No,18.58
74,15/6/2020,14:5:45,96.15,36.97,No,18.58
75,15/6/2020,14:5:45,95.24,36.72,No,18.59
76,15/6/2020,14:5:45,94.34,36.38,No,18.60
77,15/6/2020,14:5:45,96.15,36.95,No,18.61
78,15/6/2020,14:5:46,96.15,36.71,No,18.62
79,15/6/2020,14:5:46,97.09,36.70,No,18.63
80,15/6/2020,14:5:46,98.04,36.95,No,18.64
81,15/6/2020,14:5:46,98.04,36.95,No,18.65
82,15/6/2020,14:5:46,99.01,36.97,No,18.65
83,15/6/2020,14:5:46,100.00,36.95,No,18.65
84,15/6/2020,14:5:46,101.01,36.71,No,18.64
85,15/6/2020,14:5:47,101.01,36.76,No,18.63
86,15/6/2020,14:5:47,101.01,36.99,No,18.63
87,15/6/2020,14:5:47,101.01,36.99,No,18.63
88,15/6/2020,14:5:47,102.04,37.00,No,18.63
89,15/6/2020,14:5:47,102.04,36.85,No,18.63
90,15/6/2020,14:5:47,102.04,37.00,No,18.63
91,15/6/2020,14:5:48,102.04,36.95,No,18.64
92,15/6/2020,14:5:48,102.04,36.98,No,18.64
93,15/6/2020,14:5:48,102.04,36.79,No,18.64
