,Date,Time,Distance away,Temperature,Overheated,Average ambient temperature
0,15/6/2020,13:46:51,83.33,36.92,No,20.40
1,15/6/2020,13:46:51,84.75,36.99,No,20.39
2,15/6/2020,13:46:51,87.72,36.41,No,20.40
3,15/6/2020,13:46:51,86.96,36.38,No,20.40
4,15/6/2020,13:46:51,84.75,36.82,No,20.40
5,15/6/2020,13:46:52,86.21,36.38,No,20.40
6,15/6/2020,13:46:52,85.47,36.43,No,20.40
7,15/6/2020,13:46:54,86.21,36.49,No,20.41
8,15/6/2020,13:46:54,88.50,36.38,No,20.41
9,15/6/2020,13:46:54,88.50,36.55,No,20.41
10,15/6/2020,13:46:55,89.29,36.44,No,20.42
11,15/6/2020,13:46:55,89.29,36.41,No,20.42
12,15/6/2020,13:46:55,86.96,36.52,No,20.41
13,15/6/2020,13:46:55,88.50,36.47,No,20.41
14,15/6/2020,13:46:55,88.50,36.43,No,20.41
15,15/6/2020,13:46:55,89.29,36.46,No,20.40
16,15/6/2020,13:46:55,86.96,36.38,No,20.39
17,15/6/2020,13:46:56,87.72,36.57,No,20.37
18,15/6/2020,13:46:56,87.72,36.38,No,20.36
19,15/6/2020,13:46:56,88.50,36.38,No,20.34
20,15/6/2020,13:46:56,86.21,36.39,No,20.33
21,15/6/2020,13:46:56,86.21,36.42,No,20.31
22,15/6/2020,13:46:56,86.96,36.40,No,20.29
23,15/6/2020,13:46:56,88.50,36.46,No,20.27
24,15/6/2020,13:46:56,88.50,36.47,No,20.25
25,15/6/2020,13:46:57,90.09,36.47,No,20.24
26,15/6/2020,13:46:57,88.50,36.64,No,20.22
27,15/6/2020,13:46:57,86.21,36.38,No,20.20
28,15/6/2020,13:46:57,90.91,36.41,No,20.19
29,15/6/2020,13:46:57,93.46,36.46,No,20.17
30,15/6/2020,13:46:57,94.34,36.40,No,20.17
31,15/6/2020,13:46:57,90.91,36.46,No,20.17
32,15/6/2020,13:46:58,86.21,36.43,No,20.17
33,15/6/2020,13:46:58,86.21,36.50,No,20.18
34,15/6/2020,13:46:58,86.21,36.38,No,20.19
35,15/6/2020,13:46:58,86.21,36.40,No,20.20
36,15/6/2020,13:46:58,86.21,36.46,No,20.20
37,15/6/2020,13:46:58,86.21,36.38,No,20.21
38,15/6/2020,13:46:58,86.21,36.42,No,20.22
39,15/6/2020,13:46:59,87.72,36.40,No,20.23
40,15/6/2020,13:46:59,88.50,36.43,No,20.24
41,15/6/2020,13:46:59,89.29,36.42,No,20.26
42,15/6/2020,13:46:59,90.91,36.39,No,20.28
43,15/6/2020,13:46:59,90.91,36.41,No,20.29
44,15/6/2020,13:46:59,90.09,36.42,No,20.31
45,15/6/2020,13:46:59,91.74,36.46,No,20.32
46,15/6/2020,13:47:0,90.91,36.42,No,20.33
47,15/6/2020,13:47:0,90.09,36.50,No,20.35
48,15/6/2020,13:47:0,90.09,36.40,No,20.36
49,15/6/2020,13:47:0,90.91,36.43,No,20.37
50,15/6/2020,13:47:0,91.74,36.44,No,20.39
51,15/6/2020,13:47:0,91.74,36.39,No,20.40
52,15/6/2020,13:47:0,90.09,36.43,No,20.42
53,15/6/2020,13:47:0,90.09,36.45,No,20.43
54,15/6/2020,13:47:1,92.59,36.42,No,20.44
55,15/6/2020,13:47:1,88.50,36.43,No,20.46
56,15/6/2020,13:47:1,89.29,36.43,No,20.47
57,15/6/2020,13:47:1,88.50,36.39,No,20.48
58,15/6/2020,13:47:1,89.29,36.42,No,20.49
59,15/6/2020,13:47:1,93.46,36.42,No,20.50
60,15/6/2020,13:47:1,91.74,36.40,No,20.50
61,15/6/2020,13:47:2,84.03,36.96,No,20.51
62,15/6/2020,13:47:2,88.50,36.41,No,20.52
63,15/6/2020,13:47:2,86.96,36.38,No,20.53
64,15/6/2020,13:47:2,90.91,36.42,No,20.54
65,15/6/2020,13:47:2,92.59,36.41,No,20.56
66,15/6/2020,13:47:2,91.74,36.42,No,20.58
67,15/6/2020,13:47:2,89.29,36.38,No,20.59
68,15/6/2020,13:47:3,87.72,36.40,No,20.61
69,15/6/2020,13:47:3,90.09,36.57,No,20.63
70,15/6/2020,13:47:3,84.03,36.99,No,20.65
71,15/6/2020,13:47:3,83.33,36.95,No,20.66
72,15/6/2020,13:47:3,87.72,36.38,No,20.68
73,15/6/2020,13:47:3,85.47,36.38,No,20.70
74,15/6/2020,13:47:3,90.09,36.38,No,20.72
75,15/6/2020,13:47:4,85.47,36.57,No,20.73
76,15/6/2020,13:47:4,88.50,36.43,No,20.74
77,15/6/2020,13:47:4,87.72,36.38,No,20.75
78,15/6/2020,13:47:4,86.96,36.54,No,20.75
79,15/6/2020,13:47:4,90.09,36.41,No,20.74
80,15/6/2020,13:47:4,93.46,36.51,No,20.73
81,15/6/2020,13:47:4,94.34,36.42,No,20.72
82,15/6/2020,13:47:4,99.01,36.82,No,20.71
83,15/6/2020,13:47:5,96.15,37.00,No,20.70
84,15/6/2020,13:47:5,105.26,36.97,No,20.69
85,15/6/2020,13:47:5,107.53,36.97,No,20.67
86,15/6/2020,13:47:5,116.28,36.86,No,20.66
87,15/6/2020,13:47:5,116.28,36.99,No,20.65
88,15/6/2020,13:47:5,121.95,36.97,No,20.63
89,15/6/2020,13:47:5,121.95,36.72,No,20.62
90,15/6/2020,13:47:6,121.95,36.98,No,20.61
91,15/6/2020,13:47:6,121.95,36.95,No,20.59
92,15/6/2020,13:47:6,129.87,36.71,No,20.57
93,15/6/2020,13:47:6,133.33,36.95,No,20.56
94,15/6/2020,13:47:6,147.06,36.95,No,20.55
95,15/6/2020,13:47:6,142.86,36.95,No,20.53
96,15/6/2020,13:47:6,153.85,36.95,No,20.52
97,15/6/2020,13:47:7,153.85,36.95,No,20.50
98,15/6/2020,13:47:7,156.25,36.95,No,20.49
99,15/6/2020,13:47:7,158.73,36.99,No,20.48
