,Date,Time,Distance away,Temperature,Overheated,Average ambient temperature
0,15/6/2020,10:2:53,51.81,36.76,No,23.03
1,15/6/2020,10:2:53,62.89,36.50,No,23.04
2,15/6/2020,10:2:59,75.19,36.92,No,23.05
3,15/6/2020,10:3:0,76.92,36.92,No,23.06
4,15/6/2020,10:3:0,80.00,36.92,No,23.07
5,15/6/2020,10:3:5,80.65,36.50,No,23.04
6,15/6/2020,10:3:5,85.47,36.50,No,23.04
7,15/6/2020,10:3:5,89.29,36.38,No,23.05
8,15/6/2020,10:3:6,94.34,36.38,No,23.05
9,15/6/2020,10:3:21,86.21,36.38,No,22.97
10,15/6/2020,10:3:21,87.72,36.38,No,22.98
11,15/6/2020,10:3:24,80.00,36.92,No,23.00
12,15/6/2020,10:3:25,93.46,36.50,No,23.01
13,15/6/2020,10:3:25,84.75,36.92,No,23.00
14,15/6/2020,10:3:25,90.91,36.38,No,23.00
15,15/6/2020,10:3:25,80.65,36.92,No,23.00
