,Unnamed: 0,Date,Time,Distance away,Unadjusted_Temp,Temperature,Overheated,Average ambient temperature
0,0.0,26/10/2020,10:38:43,434.78,,No,,
1,1.0,26/10/2020,10:38:44,476.19,29.0,36.95,No,27.06
2,2.0,26/10/2020,10:38:44,434.78,31.0,36.95,No,27.07
3,3.0,26/10/2020,10:39:24,666.67,31.53,36.48,No,26.56
4,4.0,26/10/2020,10:39:54,263.16,31.31,36.26,No,27.0
5,5.0,26/10/2020,10:39:55,270.27,32.0,36.95,No,26.99
6,6.0,26/10/2020,10:39:56,263.16,32.0,36.95,No,26.97
7,7.0,26/10/2020,10:39:59,243.9,31.08,36.73,No,26.96
8,8.0,26/10/2020,10:40:18,208.33,,No,26.70,
9,9.0,26/10/2020,10:40:19,250.0,32.0,36.95,No,26.69
10,10.0,26/10/2020,10:40:19,238.1,32.0,36.95,No,26.69
11,11.0,26/10/2020,10:40:20,243.9,31.06,36.71,No,26.69
12,12.0,26/10/2020,10:40:21,250.0,29.94,36.89,No,26.69
13,13.0,26/10/2020,10:40:21,270.27,29.08,36.73,No,26.68
14,14.0,26/10/2020,10:40:21,303.03,30.49,36.44,No,26.68
15,15.0,26/10/2020,10:40:21,303.03,30.41,36.36,No,26.68
16,16.0,26/10/2020,10:40:22,357.14,28.96,36.91,No,26.68
17,17.0,26/10/2020,10:40:22,370.37,28.69,36.64,No,26.67
18,18.0,26/10/2020,10:40:22,357.14,27.0,36.95,No,26.67
19,19.0,26/10/2020,10:40:23,344.83,,No,26.66,
20,20.0,26/10/2020,10:40:23,333.33,,No,26.66,
21,21.0,26/10/2020,10:40:23,384.62,,No,26.65,
22,22.0,26/10/2020,10:40:23,400.0,28.71,36.66,No,26.65
23,23.0,26/10/2020,10:40:24,357.14,28.36,36.31,No,26.65
24,24.0,26/10/2020,10:40:24,400.0,27.18,36.83,No,26.65
25,25.0,26/10/2020,10:40:24,344.83,28.0,36.95,No,26.64
26,26.0,26/10/2020,10:40:24,333.33,28.79,36.74,No,26.64
27,27.0,26/10/2020,10:40:25,322.58,29.91,36.86,No,26.64
28,28.0,26/10/2020,10:40:25,303.03,31.0,36.95,No,26.64
29,29.0,26/10/2020,10:40:25,312.5,29.17,36.82,No,26.64
30,30.0,26/10/2020,10:40:26,277.78,30.38,36.33,No,26.64
31,31.0,26/10/2020,10:40:26,263.16,31.0,36.95,No,26.63
32,32.0,26/10/2020,10:40:26,250.0,,No,26.63,
33,33.0,26/10/2020,10:40:27,217.39,32.0,36.95,Yes,26.63
34,34.0,26/10/2020,10:40:27,212.77,32.0,36.95,pause,26.62
35,35.0,26/10/2020,10:40:27,555.56,29.0,36.95,No,26.62
36,36.0,26/10/2020,10:40:38,263.16,29.66,36.61,No,26.38
37,37.0,26/10/2020,10:40:38,270.27,30.16,36.81,No,26.38
38,38.0,26/10/2020,10:40:39,256.41,31.0,36.95,No,26.37
