,Unnamed: 0,Date,Time,Distance away,Temperature,Overheated,Average ambient temperature
0,0.0,7/7/2020,9:59:13,158.73,36.96,No,23.73
1,1.0,7/7/2020,9:59:13,169.49,36.49,No,23.73
2,2.0,7/7/2020,9:59:14,161.29,36.95,No,23.73
3,3.0,7/7/2020,9:59:14,185.19,36.95,No,23.72
4,4.0,7/7/2020,9:59:14,185.19,36.5,No,23.71
5,5.0,7/7/2020,9:59:15,185.19,36.5,No,23.71
6,6.0,7/7/2020,9:59:15,200.0,36.95,No,23.7
7,7.0,7/7/2020,9:59:15,196.08,36.5,No,23.69
8,8.0,7/7/2020,9:59:15,181.82,36.95,No,23.68
9,9.0,7/7/2020,9:59:19,161.29,36.5,No,23.58
10,10.0,7/7/2020,9:59:19,178.57,36.05,No,23.59
11,11.0,7/7/2020,9:59:19,204.08,36.95,No,23.59
12,12.0,7/7/2020,9:59:20,212.77,36.5,No,23.6
13,13.0,7/7/2020,9:59:20,188.68,36.95,No,23.6
14,14.0,7/7/2020,9:59:20,188.68,36.5,No,23.61
15,15.0,7/7/2020,9:59:21,208.33,36.95,No,23.62
16,16.0,7/7/2020,9:59:21,204.08,36.95,No,23.63
17,17.0,7/7/2020,9:59:21,204.08,36.95,No,23.63
18,18.0,7/7/2020,9:59:21,208.33,36.95,No,23.64
19,19.0,7/7/2020,9:59:22,212.77,36.5,No,23.65
20,20.0,7/7/2020,9:59:22,200.0,36.5,No,23.66
21,21.0,7/7/2020,9:59:22,222.22,36.95,No,23.66
22,22.0,7/7/2020,9:59:22,217.39,36.95,No,23.67
23,23.0,7/7/2020,9:59:22,222.22,36.95,No,23.68
24,24.0,7/7/2020,9:59:23,243.9,36.95,No,23.71
25,25.0,7/7/2020,9:59:23,238.1,36.95,No,23.71
26,26.0,7/7/2020,9:59:25,222.22,36.5,No,23.78
27,27.0,7/7/2020,9:59:27,172.41,36.26,No,23.85
28,28.0,7/7/2020,9:59:27,196.08,36.95,No,23.86
29,29.0,7/7/2020,9:59:27,188.68,36.95,No,23.87
30,30.0,7/7/2020,9:59:28,192.31,36.24,No,23.88
31,31.0,7/7/2020,9:59:28,200.0,36.95,No,23.89
32,32.0,7/7/2020,9:59:28,196.08,36.5,No,23.9
33,33.0,7/7/2020,9:59:28,196.08,36.5,No,23.92
34,34.0,7/7/2020,9:59:29,204.08,36.95,No,23.93
35,35.0,7/7/2020,9:59:29,212.77,36.95,No,23.94
