,Date,Time,Distance away,Unadjusted_Temp,Temperature,Overheated,Average ambient temperature
0,7/12/2020,17:33:8,120.48,28.00,36.95,No,23.34
1,7/12/2020,17:33:8,119.05,28.00,36.95,No,23.34
2,7/12/2020,17:33:8,120.48,28.00,36.95,No,23.34
3,7/12/2020,17:33:9,104.17,29.00,36.95,No,23.34
4,7/12/2020,17:33:9,107.53,29.00,36.95,No,23.34
5,7/12/2020,17:33:10,107.53,29.00,36.95,No,23.34
6,7/12/2020,17:33:10,103.09,29.00,36.95,No,23.34
7,7/12/2020,17:33:10,101.01,29.00,36.95,No,23.34
8,7/12/2020,17:33:11,106.38,29.00,36.95,No,23.34
9,7/12/2020,17:33:11,108.70,29.00,36.95,No,23.34
10,7/12/2020,17:33:12,104.17,29.00,36.95,No,23.34
11,7/12/2020,17:33:12,95.24,29.00,36.95,No,23.34
12,7/12/2020,17:33:12,98.04,29.00,36.95,No,23.34
13,7/12/2020,17:33:13,99.01,29.00,36.95,No,23.34
14,7/12/2020,17:33:13,96.15,29.00,36.95,No,23.34
15,7/12/2020,17:33:13,117.65,29.00,36.95,No,23.34
16,7/12/2020,17:33:14,119.05,29.00,36.95,No,23.34
17,7/12/2020,17:33:15,109.89,29.00,36.95,No,23.34
18,7/12/2020,17:33:15,107.53,29.00,36.95,No,23.34
19,7/12/2020,17:33:15,101.01,29.00,36.95,No,23.34
20,7/12/2020,17:33:16,101.01,29.00,36.95,No,23.34
21,7/12/2020,17:33:16,100.00,29.00,36.95,No,23.34
22,7/12/2020,17:33:16,99.01,29.00,36.95,No,23.34
23,7/12/2020,17:33:17,97.09,29.00,36.95,No,23.34
24,7/12/2020,17:33:17,96.15,29.00,36.95,No,23.34
25,7/12/2020,17:33:18,96.15,29.00,36.95,No,23.34
26,7/12/2020,17:33:18,98.04,29.00,36.95,No,23.34
27,7/12/2020,17:33:18,104.17,29.00,36.95,No,23.34
28,7/12/2020,17:33:19,101.01,29.00,36.95,No,23.34
29,7/12/2020,17:33:19,94.34,29.00,36.38,No,23.34
30,7/12/2020,17:33:19,99.01,29.00,36.95,No,23.34
31,7/12/2020,17:33:20,95.24,29.00,36.95,No,23.34
32,7/12/2020,17:33:20,105.26,29.00,36.95,No,23.34
33,7/12/2020,17:33:21,111.11,29.00,36.95,No,23.34
34,7/12/2020,17:33:21,107.53,29.00,36.95,No,23.34
35,7/12/2020,17:33:21,102.04,29.00,36.95,No,23.34
36,7/12/2020,17:33:22,108.70,29.00,36.95,No,23.34
37,7/12/2020,17:33:22,113.64,29.00,36.95,No,23.34
38,7/12/2020,17:33:23,117.65,29.00,36.95,No,23.34
39,7/12/2020,17:33:23,120.48,29.00,36.95,No,23.34
40,7/12/2020,17:33:23,112.36,29.00,36.95,No,23.34
41,7/12/2020,17:33:24,138.89,29.00,36.95,No,23.34
42,7/12/2020,17:33:24,344.83,28.00,36.95,No,23.34
43,7/12/2020,17:33:25,333.33,28.00,36.95,No,23.34
44,7/12/2020,17:33:25,344.83,28.00,36.95,No,23.34
45,7/12/2020,17:33:26,333.33,28.00,36.95,No,23.34
46,7/12/2020,17:33:26,333.33,28.00,36.95,No,23.34
47,7/12/2020,17:33:26,113.64,29.00,36.95,No,23.34
48,7/12/2020,17:33:27,114.94,29.00,36.95,No,23.34
49,7/12/2020,17:33:27,294.12,nan,No,23.34,
50,7/12/2020,17:33:27,112.36,29.00,36.95,No,23.34
51,7/12/2020,17:33:27,312.50,nan,No,23.34,
52,7/12/2020,17:33:28,117.65,29.00,36.95,No,23.34
53,7/12/2020,17:33:28,117.65,29.00,36.95,No,23.34
54,7/12/2020,17:33:28,294.12,nan,No,23.34,
55,7/12/2020,17:33:29,117.65,29.00,36.95,No,23.34
56,7/12/2020,17:33:29,312.50,nan,No,23.34,
57,7/12/2020,17:33:29,117.65,29.00,36.95,No,23.34
58,7/12/2020,17:33:30,117.65,29.00,36.95,No,23.34
59,7/12/2020,17:33:30,116.28,29.00,36.95,No,23.34
60,7/12/2020,17:33:30,312.50,27.00,36.95,No,23.34
61,7/12/2020,17:33:31,116.28,29.00,36.95,No,23.34
62,7/12/2020,17:33:31,116.28,29.00,36.95,No,23.34
63,7/12/2020,17:33:31,303.03,25.23,36.88,No,23.34
64,7/12/2020,17:33:32,116.28,29.00,36.95,No,23.34
65,7/12/2020,17:33:32,322.58,25.21,36.86,No,23.34
66,7/12/2020,17:33:32,116.28,29.00,36.95,No,23.34
67,7/12/2020,17:33:33,114.94,29.00,36.95,No,23.34
68,7/12/2020,17:33:33,303.03,25.12,36.77,No,23.34
69,7/12/2020,17:33:33,116.28,29.00,36.95,No,23.34
70,7/12/2020,17:33:33,285.71,25.97,36.92,No,23.34
71,7/12/2020,17:33:34,116.28,29.00,36.95,No,23.34
72,7/12/2020,17:33:34,111.11,29.00,36.95,No,23.34
73,7/12/2020,17:33:34,111.11,29.00,36.95,No,23.34
74,7/12/2020,17:33:35,120.48,29.00,36.95,No,23.34
75,7/12/2020,17:33:35,108.70,29.00,36.95,No,23.34
76,7/12/2020,17:33:36,111.11,29.00,36.95,No,23.34
77,7/12/2020,17:33:36,109.89,29.00,36.95,No,23.34
78,7/12/2020,17:33:36,121.95,29.00,36.95,No,23.34
79,7/12/2020,17:33:37,117.65,28.07,36.72,No,23.34
80,7/12/2020,17:33:37,109.89,28.00,36.95,No,23.34
81,7/12/2020,17:33:37,116.28,28.00,36.95,No,23.34
82,7/12/2020,17:33:38,114.94,28.27,36.22,No,23.34
83,7/12/2020,17:33:38,120.48,29.00,36.95,No,23.34
84,7/12/2020,17:33:39,107.53,28.27,36.22,No,23.34
85,7/12/2020,17:33:39,108.70,28.24,36.89,No,23.34
86,7/12/2020,17:33:39,103.09,28.24,36.89,No,23.34
87,7/12/2020,17:33:40,112.36,29.00,36.95,No,23.34
88,7/12/2020,17:33:40,107.53,29.00,36.95,No,23.34
89,7/12/2020,17:33:41,103.09,29.00,36.95,No,23.34
90,7/12/2020,17:33:41,370.37,nan,No,23.34,
91,7/12/2020,17:33:41,104.17,29.00,36.95,No,23.34
92,7/12/2020,17:33:41,384.62,nan,No,23.34,
93,7/12/2020,17:33:42,104.17,29.00,36.95,No,23.34
94,7/12/2020,17:33:42,384.62,nan,No,23.34,
95,7/12/2020,17:33:42,99.01,29.00,36.95,No,23.34
96,7/12/2020,17:33:42,384.62,nan,No,23.34,
97,7/12/2020,17:33:43,94.34,29.00,36.38,No,23.34
98,7/12/2020,17:33:43,384.62,nan,No,23.34,
99,7/12/2020,17:33:43,93.46,29.00,36.38,No,23.34
100,7/12/2020,17:33:43,434.78,nan,No,23.34,
