,Date,Time,Distance away,Temperature,Overheated,Average ambient temperature
0,8/6/2020,16:5:49,102.04,36.95,No,26.41
1,8/6/2020,16:5:49,106.38,36.95,No,26.40
2,8/6/2020,16:5:50,107.53,37.06,No,26.40
3,8/6/2020,16:5:50,101.01,36.95,No,26.39
4,8/6/2020,16:5:50,103.09,36.98,No,26.39
5,8/6/2020,16:5:51,99.01,36.97,No,26.38
6,8/6/2020,16:5:51,101.01,37.05,No,26.38
7,8/6/2020,16:5:51,102.04,36.99,No,26.38
8,8/6/2020,16:5:51,102.04,36.95,No,26.37
9,8/6/2020,16:5:52,102.04,36.95,No,26.36
10,8/6/2020,16:5:52,104.17,37.02,No,26.36
11,8/6/2020,16:5:52,107.53,36.99,No,26.36
12,8/6/2020,16:5:53,103.09,36.95,No,26.35
13,8/6/2020,16:5:53,103.09,36.95,No,26.35
14,8/6/2020,16:5:53,100.00,36.98,No,26.35
15,8/6/2020,16:5:53,103.09,36.96,No,26.36
16,8/6/2020,16:5:54,108.70,37.03,No,26.36
17,8/6/2020,16:5:54,105.26,36.95,No,26.36
18,8/6/2020,16:5:54,109.89,36.97,No,26.36
19,8/6/2020,16:5:55,113.64,36.96,No,26.35
20,8/6/2020,16:5:55,112.36,36.50,No,26.34
21,8/6/2020,16:5:55,120.48,36.73,No,26.33
22,8/6/2020,16:5:55,126.58,36.71,No,26.32
23,8/6/2020,16:5:56,128.21,36.72,No,26.31
24,8/6/2020,16:5:57,144.93,36.95,No,26.26
25,8/6/2020,16:5:57,142.86,36.97,No,26.25
26,8/6/2020,16:5:57,142.86,36.98,No,26.24
27,8/6/2020,16:5:58,151.52,36.95,No,26.23
28,8/6/2020,16:5:58,156.25,36.95,No,26.23
29,8/6/2020,16:5:58,263.16,36.99,No,26.23
30,8/6/2020,16:5:58,156.25,36.98,No,26.21
31,8/6/2020,16:5:59,156.25,36.50,No,26.21
32,8/6/2020,16:5:59,161.29,36.95,No,26.20
33,8/6/2020,16:5:59,158.73,36.95,No,26.19
34,8/6/2020,16:6:0,161.29,36.95,No,26.19
35,8/6/2020,16:6:0,156.25,36.70,No,26.17
36,8/6/2020,16:6:0,153.85,36.95,No,26.16
37,8/6/2020,16:6:1,156.25,36.95,No,26.16
