,Date,Time,Distance away,Unadjusted_Temp,Temperature,Overheated,Average ambient temperature
0,27/11/2020,18:36:25,454.55,25.03,36.98,No,23.28
1,27/11/2020,18:36:25,400.00,26.00,36.95,No,23.28
2,27/11/2020,18:36:25,454.55,25.04,36.99,No,23.28
3,27/11/2020,18:36:26,434.78,25.05,37.00,No,23.28
4,27/11/2020,18:36:26,434.78,25.13,36.78,No,23.27
5,27/11/2020,18:36:26,416.67,25.05,36.70,No,23.27
6,27/11/2020,18:36:26,434.78,25.06,36.71,No,23.27
7,27/11/2020,18:36:27,434.78,25.28,36.23,No,23.27
8,27/11/2020,18:36:27,454.55,26.00,36.95,No,23.28
9,27/11/2020,18:36:27,454.55,25.36,36.31,No,23.28
10,27/11/2020,18:36:27,500.00,25.00,36.95,No,23.28
11,27/11/2020,18:36:28,454.55,25.37,36.32,No,23.28
12,27/11/2020,18:36:28,476.19,25.26,36.21,No,23.28
13,27/11/2020,18:36:28,526.32,25.00,36.95,No,23.28
14,27/11/2020,18:36:28,416.67,25.29,36.24,No,23.28
15,27/11/2020,18:36:29,500.00,25.00,36.95,No,23.28
16,27/11/2020,18:36:29,476.19,25.25,36.90,No,23.28
17,27/11/2020,18:36:29,454.55,25.36,36.31,No,23.28
18,27/11/2020,18:36:29,384.62,27.00,36.95,No,23.28
19,27/11/2020,18:36:30,434.78,25.36,36.31,No,23.28
20,27/11/2020,18:36:30,370.37,26.00,36.95,No,23.28
21,27/11/2020,18:36:30,454.55,25.00,36.95,No,23.27
22,27/11/2020,18:36:30,476.19,25.00,36.95,No,23.27
23,27/11/2020,18:36:31,454.55,25.16,36.81,No,23.27
24,27/11/2020,18:36:35,500.00,nan,No,23.24,
25,27/11/2020,18:36:35,476.19,nan,No,23.24,
26,27/11/2020,18:36:36,500.00,nan,No,23.24,
27,27/11/2020,18:36:42,333.33,27.00,36.95,No,23.20
28,27/11/2020,18:36:50,178.57,No,23.20,,
29,27/11/2020,18:36:52,416.67,No,23.20,,
30,27/11/2020,18:36:54,625.00,nan,No,23.22,
31,27/11/2020,18:36:54,526.32,27.11,36.76,No,23.23
32,27/11/2020,18:36:59,476.19,25.00,36.95,No,23.25
33,27/11/2020,18:37:0,526.32,25.00,36.95,No,23.25
34,27/11/2020,18:37:48,625.00,29.00,36.95,No,23.15
35,27/11/2020,18:37:49,666.67,29.00,36.95,No,23.15
36,27/11/2020,18:37:49,666.67,nan,No,23.16,
37,27/11/2020,18:37:49,666.67,25.00,36.95,No,23.16
38,27/11/2020,18:37:50,666.67,nan,No,23.16,
