,Date,Time,Distance away,Temperature,Overheated,Average ambient temperature
0,14/7/2020,13:58:2,357.14,36.50,No,27.81
1,14/7/2020,13:58:2,500.00,36.22,No,27.81
2,14/7/2020,13:58:2,277.78,36.22,No,27.81
3,14/7/2020,13:58:2,243.90,36.22,No,27.83
4,14/7/2020,13:58:2,344.83,36.50,No,27.83
5,14/7/2020,13:58:2,500.00,36.22,No,27.83
6,14/7/2020,13:58:3,208.33,36.50,No,27.84
7,14/7/2020,13:58:3,344.83,36.50,No,27.84
8,14/7/2020,13:58:3,476.19,36.22,No,27.84
9,14/7/2020,13:58:3,169.49,36.22,No,27.84
10,14/7/2020,13:58:3,526.32,36.22,No,27.84
11,14/7/2020,13:58:3,344.83,36.50,No,27.84
12,14/7/2020,13:58:3,384.62,36.50,No,27.84
13,14/7/2020,13:58:3,344.83,36.50,No,27.84
14,14/7/2020,13:58:3,156.25,36.35,No,27.84
15,14/7/2020,13:58:3,370.37,36.50,No,27.84
16,14/7/2020,13:58:3,454.55,36.22,No,27.84
17,14/7/2020,13:58:4,416.67,36.50,No,27.84
18,14/7/2020,13:58:4,344.83,36.50,No,27.84
19,14/7/2020,13:58:4,454.55,36.22,No,27.84
20,14/7/2020,13:58:4,344.83,36.50,No,27.84
21,14/7/2020,13:58:4,526.32,36.22,No,27.84
22,14/7/2020,13:58:4,357.14,36.50,No,27.84
23,14/7/2020,13:58:4,370.37,36.50,No,27.84
24,14/7/2020,13:58:4,370.37,36.50,No,27.85
25,14/7/2020,13:58:4,526.32,36.50,No,27.85
26,14/7/2020,13:58:4,384.62,36.50,No,27.85
27,14/7/2020,13:58:5,357.14,36.50,No,27.85
28,14/7/2020,13:58:5,526.32,36.22,No,27.85
29,14/7/2020,13:58:5,333.33,36.50,No,27.85
30,14/7/2020,13:58:5,370.37,36.50,No,27.85
31,14/7/2020,13:58:5,555.56,36.22,No,27.85
32,14/7/2020,13:58:5,526.32,36.22,No,27.85
33,14/7/2020,13:58:5,322.58,36.50,No,27.85
34,14/7/2020,13:58:5,344.83,36.50,No,27.85
